times
0.9930492
0.9930517
0.9953231
0.9976131
0.9998956
1.0023964
1.0049848
1.0073921
1.0098914
1.0126266
1.0152
1.0175358
1.0198829
1.0225775
1.025197
1.0276237
1.0299997
1.0323822
1.0346697
1.0370451
