times
1.0070961
1.0070998
1.0093267
1.0117388
1.0140338
1.0165181
1.0193349
1.0218283
1.0242206
1.0270135
1.0297477
1.0324801
1.0351385
1.0375507
1.0397923
1.0421139
1.0446704
1.0470785
1.0492201
1.0516016
