coors
"(147, 258.360523735403)"
"(146, 259.7155203036552)"
"(131, 280.96133071253706)"
"(130, 282.42167648026685)"
"(128, 285.35126402544114)"
"(127, 286.81958672798277)"
"(126, 288.2896356915583)"
"(125, 289.7609308425378)"
"(121, 295.6486802714223)"
"(120, 297.1187130001745)"
"(119, 298.58693544334704)"
"(117, 301.51578402044)"
"(116, 302.97530577753145)"
"(111, 310.2010135698667)"
"(110, 311.6276322348751)"
"(109, 313.0466539327279)"
"(108, 314.45745087168683)"
"(107, 315.8593861346451)"
"(106, 317.25181363067634)"
"(106, 317.25181363067634)"
"(105, 318.6340780465825)"
"(104, 320.0055147984417)"
"(103, 321.36544998315577)"
"(102, 322.7132003299998)"
"(101, 324.0480731521687)"
"(100, 325.36936629832616)"
"(99, 326.67636810415223)"
"(98, 327.9683573438916)"
"(99, 326.67636810415223)"
"(98, 327.9683573438916)"
"(97, 329.2446031819019)"
"(96, 330.504365124201)"
"(95, 331.74689297001606)"
"(95, 331.74689297001606)"
"(96, 330.504365124201)"
"(96, 330.504365124201)"
"(95, 331.74689297001606)"
"(93, 334.1771967444335)"
"(92, 335.36342330146636)"
"(92, 335.36342330146636)"
"(91, 336.5293169219719)"
"(91, 336.5293169219719)"
"(89, 338.79689750986506)"
"(89, 338.79689750986506)"
"(88, 339.89695551327594)"
"(89, 338.79689750986506)"
"(87, 340.97342255530157)"
"(87, 340.97342255530157)"
"(86, 342.0254588937111)"
"(86, 342.0254588937111)"
"(87, 340.97342255530157)"
"(84, 344.05282948575126)"
"(85, 343.05221459496244)"
"(85, 343.05221459496244)"
"(84, 344.05282948575126)"
"(84, 344.05282948575126)"
"(81, 346.8890729483706)"
"(81, 346.8890729483706)"
"(82, 345.97214465319985)"
"(81, 346.8890729483706)"
"(81, 346.8890729483706)"
"(80, 347.77631637319723)"
"(79, 348.63296282878366)"
"(80, 347.77631637319723)"
"(81, 346.8890729483706)"
"(80, 347.77631637319723)"
"(80, 347.77631637319723)"
"(79, 348.63296282878366)"
"(79, 348.63296282878366)"
"(78, 349.4580896857595)"
"(78, 349.4580896857595)"
"(77, 350.2507637358283)"
"(77, 350.2507637358283)"
"(75, 351.73496739671697)"
"(75, 351.73496739671697)"
"(74, 352.4245772602459)"
"(74, 352.4245772602459)"
"(73, 353.0778947253823)"
"(73, 353.0778947253823)"
"(72, 353.69393296241986)"
"(72, 353.69393296241986)"
"(71, 354.271694272015)"
"(71, 354.271694272015)"
"(69, 355.3083406726019)"
"(69, 355.3083406726019)"
"(67, 356.1796330984639)"
"(67, 356.1796330984639)"
"(66, 356.55066045173214)"
"(66, 356.55066045173214)"
"(65, 356.87719370579373)"
"(65, 356.87719370579373)"
"(64, 357.1581577171863)"
"(64, 357.1581577171863)"
"(63, 357.3924660851942)"
"(63, 357.3924660851942)"
"(62, 357.57902110339677)"
"(62, 357.57902110339677)"
"(60, 357.804423445465)"
"(60, 357.804423445465)"
"(59, 357.84101839189566)"
"(59, 357.84101839189566)"
"(57, 357.75627871829334)"
"(57, 357.75627871829334)"
"(55, 357.4532085140311)"
"(55, 357.4532085140311)"
"(52, 356.56846105355686)"
"(52, 356.56846105355686)"
"(51, 356.15399866805143)"
"(51, 356.15399866805143)"
"(49, 355.13834888222846)"
"(49, 355.13834888222846)"
"(47, 353.8653451766102)"
"(47, 353.8653451766102)"
"(46, 353.1291452695448)"
"(46, 353.1291452695448)"
"(45, 352.3247542806969)"
"(45, 352.3247542806969)"
"(44, 351.45086271567055)"
"(44, 351.45086271567055)"
"(42, 349.48927869958703)"
"(42, 349.48927869958703)"
"(41, 348.39890593447024)"
"(41, 348.39890593447024)"
"(40, 347.2336718681518)"
"(39, 345.9922053902563)"
"(39, 345.9922053902563)"
"(38, 344.6731229218566)"
"(38, 344.6731229218566)"
"(36, 341.7965130643654)"
"(36, 341.7965130643654)"
"(34, 338.59252245205266)"
"(34, 338.59252245205266)"
"(35, 340.23615573859354)"
"(38, 344.6731229218566)"
"(38, 344.6731229218566)"
"(39, 345.9922053902563)"
"(41, 348.39890593447024)"
"(41, 348.39890593447024)"
"(43, 350.50614885377786)"
"(42, 349.48927869958703)"
"(43, 350.50614885377786)"
"(44, 351.45086271567055)"
"(45, 352.3247542806969)"
"(45, 352.3247542806969)"
"(47, 353.8653451766102)"
"(47, 353.8653451766102)"
"(48, 354.53465131844894)"
"(50, 355.6777109741803)"
"(51, 356.15399866805143)"
"(51, 356.15399866805143)"
"(49, 355.13834888222846)"
"(48, 354.53465131844894)"
"(48, 354.53465131844894)"
"(51, 356.15399866805143)"
"(53, 356.92233528483064)"
"(52, 356.56846105355686)"
"(53, 356.92233528483064)"
"(53, 356.92233528483064)"
"(55, 357.4532085140311)"
"(56, 357.6326225783918)"
"(55, 357.4532085140311)"
"(56, 357.6326225783918)"
"(57, 357.75627871829334)"
"(58, 357.8253551367471)"
"(59, 357.84101839189566)"
"(58, 357.8253551367471)"
"(58, 357.8253551367471)"
"(57, 357.75627871829334)"
"(57, 357.75627871829334)"
"(58, 357.8253551367471)"
"(60, 357.804423445465)"
"(61, 357.716713711216)"
"(62, 357.57902110339677)"
"(59, 357.84101839189566)"
"(60, 357.804423445465)"
"(60, 357.804423445465)"
"(61, 357.716713711216)"
"(62, 357.57902110339677)"
"(63, 357.3924660851942)"
"(62, 357.57902110339677)"
"(61, 357.716713711216)"
"(64, 357.1581577171863)"
"(65, 356.87719370579373)"
"(64, 357.1581577171863)"
"(65, 356.87719370579373)"
"(65, 356.87719370579373)"
"(66, 356.55066045173214)"
"(66, 356.55066045173214)"
"(67, 356.1796330984639)"
"(69, 355.3083406726019)"
"(68, 355.76517558064984)"
"(68, 355.76517558064984)"
"(70, 354.810170036734)"
"(71, 354.271694272015)"
"(74, 352.4245772602459)"
"(73, 353.0778947253823)"
"(72, 353.69393296241986)"
"(72, 353.69393296241986)"
"(74, 352.4245772602459)"
"(74, 352.4245772602459)"
"(73, 353.0778947253823)"
"(72, 353.69393296241986)"
"(73, 353.0778947253823)"
"(74, 352.4245772602459)"
"(75, 351.73496739671697)"
"(76, 351.0100411433156)"
"(77, 350.2507637358283)"
"(78, 349.4580896857595)"
"(78, 349.4580896857595)"
"(77, 350.2507637358283)"
"(76, 351.0100411433156)"
"(76, 351.0100411433156)"
"(77, 350.2507637358283)"
"(78, 349.4580896857595)"
"(77, 350.2507637358283)"
"(79, 348.63296282878366)"
"(79, 348.63296282878366)"
"(78, 349.4580896857595)"
"(79, 348.63296282878366)"
"(82, 345.97214465319985)"
"(82, 345.97214465319985)"
"(83, 345.0264331045589)"
"(83, 345.0264331045589)"
"(82, 345.97214465319985)"
"(81, 346.8890729483706)"
"(83, 345.0264331045589)"
"(84, 344.05282948575126)"
"(85, 343.05221459496244)"
"(85, 343.05221459496244)"
"(86, 342.0254588937111)"
"(86, 342.0254588937111)"
"(84, 344.05282948575126)"
"(83, 345.0264331045589)"
"(83, 345.0264331045589)"
"(84, 344.05282948575126)"
"(85, 343.05221459496244)"
"(86, 342.0254588937111)"
"(87, 340.97342255530157)"
"(88, 339.89695551327594)"
"(89, 338.79689750986506)"
"(88, 339.89695551327594)"
"(88, 339.89695551327594)"
"(89, 338.79689750986506)"
"(87, 340.97342255530157)"
"(86, 342.0254588937111)"
"(88, 339.89695551327594)"
"(88, 339.89695551327594)"
"(89, 338.79689750986506)"
"(91, 336.5293169219719)"
"(92, 335.36342330146636)"
"(93, 334.1771967444335)"
"(94, 332.9714267633306)"
"(93, 334.1771967444335)"
"(91, 336.5293169219719)"
"(91, 336.5293169219719)"
"(93, 334.1771967444335)"
"(93, 334.1771967444335)"
"(94, 332.9714267633306)"
"(93, 334.1771967444335)"
"(93, 334.1771967444335)"
"(94, 332.9714267633306)"
"(96, 330.504365124201)"
"(97, 329.2446031819019)"
"(97, 329.2446031819019)"
"(96, 330.504365124201)"
"(101, 324.0480731521687)"
"(103, 321.36544998315577)"
"(102, 322.7132003299998)"
"(100, 325.36936629832616)"
"(99, 326.67636810415223)"
"(98, 327.9683573438916)"
"(97, 329.2446031819019)"
"(96, 330.504365124201)"
"(99, 326.67636810415223)"
"(100, 325.36936629832616)"
"(100, 325.36936629832616)"
"(99, 326.67636810415223)"
"(99, 326.67636810415223)"
"(101, 324.0480731521687)"
"(102, 322.7132003299998)"
"(102, 322.7132003299998)"
"(103, 321.36544998315577)"
"(105, 318.6340780465825)"
"(104, 320.0055147984417)"
"(103, 321.36544998315577)"
"(102, 322.7132003299998)"
"(103, 321.36544998315577)"
"(104, 320.0055147984417)"
"(105, 318.6340780465825)"
"(106, 317.25181363067634)"
"(106, 317.25181363067634)"
"(107, 315.8593861346451)"
"(107, 315.8593861346451)"
"(108, 314.45745087168683)"
"(109, 313.0466539327279)"
"(110, 311.6276322348751)"
"(110, 311.6276322348751)"
"(110, 311.6276322348751)"
"(111, 310.2010135698667)"
"(115, 304.43080839848085)"
"(111, 310.2010135698667)"
"(110, 311.6276322348751)"
"(114, 305.88171782626625)"
"(115, 304.43080839848085)"
"(114, 305.88171782626625)"
"(114, 305.88171782626625)"
"(113, 307.3274511692098)"
"(113, 307.3274511692098)"
"(114, 305.88171782626625)"
"(114, 305.88171782626625)"
"(115, 304.43080839848085)"
"(117, 301.51578402044)"
"(117, 301.51578402044)"
"(119, 298.58693544334704)"
"(119, 298.58693544334704)"
"(118, 300.0528083980234)"
"(120, 297.1187130001745)"
"(121, 295.6486802714223)"
"(122, 294.177367867609)"
"(122, 294.177367867609)"
"(123, 292.7052978553094)"
"(124, 291.23298380560544)"
"(124, 291.23298380560544)"
"(123, 292.7052978553094)"
"(124, 291.23298380560544)"
"(125, 289.7609308425378)"
"(125, 289.7609308425378)"
"(124, 291.23298380560544)"
"(124, 291.23298380560544)"
"(123, 292.7052978553094)"
"(122, 294.177367867609)"
"(121, 295.6486802714223)"
"(121, 295.6486802714223)"
"(122, 294.177367867609)"
"(121, 295.6486802714223)"
"(121, 295.6486802714223)"
"(122, 294.177367867609)"
"(124, 291.23298380560544)"
"(125, 289.7609308425378)"
"(125, 289.7609308425378)"
"(126, 288.2896356915583)"
"(127, 286.81958672798277)"
"(128, 285.35126402544114)"
"(129, 283.8851394043306)"
"(130, 282.42167648026685)"
"(130, 282.42167648026685)"
"(136, 273.72173545584207)"
"(136, 273.72173545584207)"
"(137, 272.289206621652)"
"(137, 272.289206621652)"
"(138, 270.8627588515505)"
"(137, 272.289206621652)"
"(137, 272.289206621652)"
"(136, 273.72173545584207)"
"(136, 273.72173545584207)"
"(137, 272.289206621652)"
"(139, 269.44278409846055)"
"(140, 268.02966659504415)"
"(140, 268.02966659504415)"
"(141, 266.6237829021532)"
"(143, 263.83518512301754)"
"(144, 262.45318623549537)"
"(144, 262.45318623549537)"
"(145, 261.07985165284714)"
"(145, 261.07985165284714)"
