X,Y
[247],[337.0530274773573]
[248],[335.3440629169654]
[249],[333.634876797807]
[254],[325.0914392519571]
[255],[323.38413360857703]
[254],[325.0914392519571]
[251],[330.216561932446]
[249],[333.634876797807]
[249],[333.634876797807]
[247],[337.0530274773573]
[247],[337.0530274773573]
[246],[338.7615683293716]
[246],[338.7615683293716]
[244],[342.1764916129705]
[244],[342.1764916129705]
[243],[343.8823944139167]
[243],[343.8823944139167]
[241],[347.2897870874385]
[241],[347.2897870874385]
[240],[348.99072510482983]
[240],[348.99072510482983]
[239],[350.6894402031485]
[239],[350.6894402031485]
[237],[354.07900085707115]
[237],[354.07900085707115]
[236],[355.7692296684272]
[236],[355.7692296684272]
[234],[359.13900512348664]
[234],[359.13900512348664]
[232],[362.4923951286928]
[232],[362.4923951286928]
[231],[364.1621369513796]
[231],[364.1621369513796]
[230],[365.82681242846047]
[230],[365.82681242846047]
[229],[367.48610059150633]
[229],[367.48610059150633]
[227],[370.7872477577421]
[227],[370.7872477577421]
[225],[374.06309303159105]
[225],[374.06309303159105]
[224],[375.6907780999336]
[224],[375.6907780999336]
[222],[378.92424671865047]
[223],[377.3112545499298]
[222],[378.92424671865047]
[221],[380.5294899025521]
[222],[378.92424671865047]
[221],[380.5294899025521]
[221],[380.5294899025521]
[220],[382.12673147930946]
[219],[383.7157320295901]
[220],[382.12673147930946]
[220],[382.12673147930946]
[220],[382.12673147930946]
[222],[378.92424671865047]
[223],[377.3112545499298]
[222],[378.92424671865047]
[223],[377.3112545499298]
[223],[377.3112545499298]
[224],[375.6907780999336]
[225],[374.06309303159105]
[224],[375.6907780999336]
[224],[375.6907780999336]
[225],[374.06309303159105]
[224],[375.6907780999336]
[224],[375.6907780999336]
[227],[370.7872477577421]
[228],[369.13968357892554]
[228],[369.13968357892554]
[228],[369.13968357892554]
[229],[367.48610059150633]
[229],[367.48610059150633]
[231],[364.1621369513796]
[231],[364.1621369513796]
[235],[357.4560043157562]
[235],[357.4560043157562]
[236],[355.7692296684272]
[236],[355.7692296684272]
[238],[352.3856339333306]
[238],[352.3856339333306]
[239],[350.6894402031485]
[239],[350.6894402031485]
[240],[348.99072510482983]
[240],[348.99072510482983]
[242],[345.58691648880813]
[242],[345.58691648880813]
[243],[343.8823944139167]
[243],[343.8823944139167]
[245],[340.46946735967686]
[245],[340.46946735967686]
[246],[338.7615683293716]
[246],[338.7615683293716]
[248],[335.3440629169654]
[248],[335.3440629169654]
[249],[333.634876797807]
[249],[333.634876797807]
[251],[330.216561932446]
[251],[330.216561932446]
