X,Y
[109],[328.6229593395311]
[108],[328.10157485474787]
[108],[328.10157485474787]
[109],[328.6229593395311]
[110],[329.1173290612891]
[154],[332.3273471340688]
[155],[332.1380559915801]
[165],[329.96971261860705]
[166],[329.7310367498698]
[174],[327.72890913344844]
[175],[327.4697672036547]
[181],[325.88911811602674]
[182],[325.62246208396795]
[186],[324.5500086843867]
[140],[334.1818146326954]
[139],[334.2431891192579]
[133],[334.3541559196986]
[132],[334.3257092539963]
[325],[161.74595688175162]
[325],[161.74595688175162]
[324],[165.77658731394416]
[324],[165.77658731394416]
[323],[169.72054466210756]
[323],[169.72054466210756]
[324],[165.77658731394416]
[325],[161.74595688175162]
[325],[161.74595688175162]
[324],[165.77658731394416]
[323],[169.72054466210756]
[322],[173.579215540931]
[322],[173.579215540931]
[321],[177.3539741263184]
[321],[177.3539741263184]
[320],[181.04618218459467]
[320],[181.04618218459467]
[319],[184.6571891016967]
[319],[184.6571891016967]
[318],[188.18833191237826]
[318],[188.18833191237826]
[317],[191.64093532939881]
[317],[191.64093532939881]
[316],[195.01631177272947]
[316],[195.01631177272947]
[315],[198.31576139874727]
[315],[198.31576139874727]
[314],[201.54057212943002]
[314],[201.54057212943002]
[313],[204.69201968156193]
[313],[204.69201968156193]
[312],[207.77136759592048]
[312],[207.77136759592048]
[311],[210.77986726648845]
[311],[210.77986726648845]
[310],[213.71875796963417]
[310],[213.71875796963417]
[309],[216.58926689332583]
[309],[216.58926689332583]
[308],[219.39260916631923]
[308],[219.39260916631923]
[307],[222.12998788735734]
[307],[222.12998788735734]
[306],[224.80259415437257]
[306],[224.80259415437257]
[305],[227.41160709367585]
[305],[227.41160709367585]
[304],[229.9581938891651]
[304],[229.9581938891651]
[303],[232.44350981151246]
[303],[232.44350981151246]
[302],[234.86869824737113]
[302],[234.86869824737113]
[301],[237.23489072856609]
[301],[237.23489072856609]
[300],[239.5432069612952]
[300],[239.5432069612952]
[299],[241.79475485533027]
[299],[241.79475485533027]
[298],[243.99063055320465]
[298],[243.99063055320465]
[297],[246.13191845942407]
[297],[246.13191845942407]
[296],[248.21969126965092]
[296],[248.21969126965092]
[295],[250.25500999991715]
[295],[250.25500999991715]
[293],[254.1724710616615]
[293],[254.1724710616615]
[291],[257.8925572896173]
[291],[257.8925572896173]
[289],[261.4233393231835]
[289],[261.4233393231835]
[287],[264.7727037305203]
[287],[264.7727037305203]
[283],[270.9578111889659]
[283],[270.9578111889659]
