X,Y
[323],[256.75748461416106]
[322],[253.76510451528475]
[322],[253.76510451528475]
[321],[250.73640873438808]
[321],[250.73640873438808]
[320],[247.67217608060628]
[320],[247.67217608060628]
[319],[244.57320687890706]
[319],[244.57320687890706]
[318],[241.44032264268344]
[318],[241.44032264268344]
[317],[238.27436574637568]
[317],[238.27436574637568]
[316],[235.07619909805317]
[316],[235.07619909805317]
[315],[231.84670581201817]
[315],[231.84670581201817]
[314],[228.5867888814605]
[314],[228.5867888814605]
[313],[225.2973708509703]
[313],[225.2973708509703]
[312],[221.9793934892291]
[312],[221.9793934892291]
[313],[225.2973708509703]
[315],[231.84670581201817]
[315],[231.84670581201817]
[314],[228.5867888814605]
[313],[225.2973708509703]
[312],[221.9793934892291]
[311],[218.6338174615953]
[311],[218.6338174615953]
[312],[221.9793934892291]
[312],[221.9793934892291]
[311],[218.6338174615953]
[310],[215.26162200267163]
[310],[215.26162200267163]
[309],[211.86380458893063]
[309],[211.86380458893063]
[308],[208.4413806113439]
[308],[208.4413806113439]
[307],[204.99538304796033]
[307],[204.99538304796033]
[306],[201.5268621365317]
[307],[204.99538304796033]
[307],[204.99538304796033]
[308],[208.4413806113439]
[308],[208.4413806113439]
[309],[211.86380458893063]
[310],[215.26162200267163]
[310],[215.26162200267163]
[309],[211.86380458893063]
[309],[211.86380458893063]
[310],[215.26162200267163]
[310],[215.26162200267163]
[311],[218.6338174615953]
[311],[218.6338174615953]
[312],[221.9793934892291]
[312],[221.9793934892291]
[313],[225.2973708509703]
[313],[225.2973708509703]
[314],[228.5867888814605]
[314],[228.5867888814605]
[315],[231.84670581201817]
[315],[231.84670581201817]
[316],[235.07619909805317]
[316],[235.07619909805317]
[317],[238.27436574637568]
[317],[238.27436574637568]
[318],[241.44032264268344]
[318],[241.44032264268344]
[319],[244.57320687890706]
[319],[244.57320687890706]
[320],[247.67217608060628]
[320],[247.67217608060628]
[321],[250.73640873438808]
[321],[250.73640873438808]
[324],[259.71279206506324]
[324],[259.71279206506324]
[325],[262.6302920727062]
