coors
"(150, 354)"
"(150, 355)"
"(151, 354)"
"(150, 354)"
"(149, 353)"
"(148, 353)"
"(147, 354)"
"(140, 354)"
"(139, 355)"
"(137, 353)"
"(137, 352)"
"(138, 351)"
"(142, 351)"
"(141, 350)"
"(142, 349)"
"(143, 349)"
"(143, 348)"
"(142, 348)"
"(141, 347)"
"(141, 346)"
"(140, 345)"
"(140, 344)"
"(141, 343)"
"(145, 343)"
"(145, 342)"
"(144, 341)"
"(145, 340)"
"(148, 340)"
"(149, 339)"
"(157, 339)"
"(157, 338)"
"(156, 337)"
"(156, 335)"
"(157, 334)"
"(158, 335)"
"(161, 335)"
"(160, 334)"
"(161, 333)"
"(164, 333)"
"(165, 332)"
"(166, 332)"
"(167, 333)"
"(169, 331)"
"(169, 330)"
"(170, 329)"
"(172, 329)"
"(173, 330)"
"(187, 330)"
"(188, 329)"
"(200, 329)"
"(79, 261)"
"(78, 262)"
"(78, 263)"
"(79, 264)"
"(79, 269)"
"(78, 270)"
"(78, 271)"
"(79, 272)"
"(79, 273)"
"(80, 274)"
"(80, 275)"
"(79, 276)"
"(77, 276)"
"(76, 275)"
"(76, 273)"
"(75, 272)"
"(76, 271)"
"(75, 270)"
"(74, 270)"
"(74, 274)"
"(75, 275)"
"(75, 276)"
"(76, 277)"
"(76, 280)"
"(75, 281)"
"(74, 281)"
"(74, 284)"
"(73, 285)"
"(71, 285)"
"(70, 286)"
"(71, 285)"
"(72, 285)"
"(73, 286)"
"(73, 287)"
"(70, 290)"
"(69, 289)"
"(69, 288)"
"(69, 289)"
"(71, 291)"
"(74, 288)"
"(75, 288)"
"(76, 289)"
"(75, 290)"
"(75, 291)"
"(76, 291)"
"(77, 292)"
"(76, 293)"
"(76, 295)"
"(75, 296)"
"(74, 296)"
"(73, 295)"
"(74, 294)"
"(71, 294)"
"(72, 295)"
"(73, 295)"
"(74, 296)"
"(73, 297)"
"(75, 297)"
"(76, 298)"
"(75, 299)"
"(72, 299)"
