coors
"(326, 161.0872485705022)"
"(325, 164.87251316982292)"
"(325, 164.87251316982292)"
"(324, 168.5703388826787)"
"(324, 168.5703388826787)"
"(323, 172.1826942313619)"
"(323, 172.1826942313619)"
"(322, 175.71151638435185)"
"(322, 175.71151638435185)"
"(321, 179.1587114055328)"
"(321, 179.1587114055328)"
"(320, 182.52615450337726)"
"(320, 182.52615450337726)"
"(319, 185.81569028013837)"
"(319, 185.81569028013837)"
"(318, 189.0291329810625)"
"(318, 189.0291329810625)"
"(317, 192.16826674356707)"
"(317, 192.16826674356707)"
"(316, 195.23484584645848)"
"(316, 195.23484584645848)"
"(315, 198.23059495909365)"
"(315, 198.23059495909365)"
"(314, 201.1572093906143)"
"(314, 201.1572093906143)"
"(313, 204.01635533912304)"
"(313, 204.01635533912304)"
"(312, 206.80967014087582)"
"(312, 206.80967014087582)"
"(311, 209.53876251949623)"
"(311, 209.53876251949623)"
"(310, 212.20521283515154)"
"(310, 212.20521283515154)"
"(309, 214.81057333375793)"
"(309, 214.81057333375793)"
"(308, 217.3563683961729)"
"(308, 217.3563683961729)"
"(307, 219.84409478741145)"
"(307, 219.84409478741145)"
"(306, 222.27522190580385)"
"(306, 222.27522190580385)"
"(305, 224.65119203222457)"
"(305, 224.65119203222457)"
"(304, 226.9734205792738)"
"(304, 226.9734205792738)"
"(303, 229.2432963404808)"
"(303, 229.2432963404808)"
"(302, 231.4621817394982)"
"(302, 231.4621817394982)"
"(301, 233.63141307927617)"
"(301, 233.63141307927617)"
"(300, 235.7523007913078)"
"(300, 235.7523007913078)"
"(299, 237.82612968477042)"
"(299, 237.82612968477042)"
"(298, 239.8541591957637)"
"(298, 239.8541591957637)"
"(297, 241.83762363647838)"
"(297, 241.83762363647838)"
"(296, 243.77773244441414)"
"(296, 243.77773244441414)"
"(295, 245.67567043155032)"
"(295, 245.67567043155032)"
"(294, 247.53259803356923)"
"(294, 247.53259803356923)"
"(293, 249.34965155902864)"
"(293, 249.34965155902864)"
"(292, 251.12794343857786)"
"(292, 251.12794343857786)"
"(291, 252.86856247414107)"
"(291, 252.86856247414107)"
"(289, 256.24102057256823)"
"(289, 256.24102057256823)"
"(287, 259.47527316471496)"
"(287, 259.47527316471496)"
"(286, 261.0430504476644)"
"(286, 261.0430504476644)"
"(284, 264.08466855007373)"
"(284, 264.08466855007373)"
"(282, 267.0071326303432)"
"(282, 267.0071326303432)"
"(279, 271.1826682536275)"
"(279, 271.1826682536275)"
"(276, 275.1280858012724)"
"(276, 275.1280858012724)"
"(274, 277.64077974787233)"
"(274, 277.64077974787233)"
"(269, 283.5521756123635)"
"(269, 283.5521756123635)"
"(265, 287.9427104339038)"
"(265, 287.9427104339038)"
"(260, 293.0676166903686)"
"(260, 293.0676166903686)"
"(249, 303.19710170516464)"
"(248, 304.05316857588696)"
"(242, 309.0021900598249)"
"(241, 309.7981654508276)"
"(237, 312.9076705363241)"
"(236, 313.66738815267126)"
"(233, 315.9068142849019)"
"(232, 316.64053004127254)"
"(229, 318.80517969667835)"
"(228, 319.5149322970483)"
"(225, 321.6101284712531)"
"(224, 322.2974411658497)"
"(222, 323.65584788624983)"
"(221, 324.3270561845202)"
"(218, 326.3092618146875)"
"(217, 326.9596474654991)"
"(217, 326.9596474654991)"
"(216, 327.6049072552478)"
"(215, 328.24506335082515)"
"(214, 328.8801334785039)"
"(212, 330.13506602731377)"
"(211, 330.754943940648)"
"(209, 331.9795355730971)"
"(208, 332.58424486898093)"
"(207, 333.1838888759371)"
"(206, 333.77845876632637)"
"(207, 333.1838888759371)"
"(209, 331.9795355730971)"
"(207, 333.1838888759371)"
"(206, 333.77845876632637)"
"(204, 334.95233014675887)"
"(203, 335.53160398902537)"
"(202, 336.10574891756505)"
"(201, 336.67474760741516)"
"(200, 337.23858178174214)"
"(199, 337.79723246102776)"
"(198, 338.3506802122761)"
"(197, 338.8989053981968)"
"(196, 339.44188842641415)"
"(195, 339.97960999865654)"
"(194, 340.5120513599468)"
"(193, 341.03919454781453)"
"(192, 341.5610226414733)"
"(191, 342.0775200110329)"
"(190, 342.5886725666837)"
