X,Y
[298],[286.42093518895854]
[297],[290.76698411368125]
[294],[303.35363413913]
[293],[307.38723030693654]
[292],[311.33497995366633]
[291],[315.19445690845896]
[290],[318.96355264257]
[290],[318.96355264257]
[289],[322.64046716057055]
[289],[322.64046716057055]
[288],[326.2236998928274]
[288],[326.2236998928274]
[287],[329.7120405872847]
[287],[329.7120405872847]
[286],[333.1045602000813]
[287],[329.7120405872847]
[287],[329.7120405872847]
[286],[333.1045602000813]
[286],[333.1045602000813]
[285],[336.40060178954445]
[285],[336.40060178954445]
[284],[339.5997714064579]
[284],[339.5997714064579]
[282],[345.7071792429342]
[282],[345.7071792429342]
[281],[348.6158625557582]
[281],[348.6158625557582]
[280],[351.4285458667]
[280],[351.4285458667]
[279],[354.1460135702073]
[279],[354.1460135702073]
[276],[361.73803748535283]
[275],[364.08651695722074]
[273],[368.5203218219831]
[273],[368.5203218219831]
[272],[370.6095965841814]
[272],[370.6095965841814]
[271],[372.6166661968018]
[271],[372.6166661968018]
[270],[374.54386225804046]
[270],[374.54386225804046]
[269],[376.393642738185]
[269],[376.393642738185]
[267],[379.87136603904946]
[267],[379.87136603904946]
[264],[384.5750387021835]
[264],[384.5750387021835]
[262],[387.40326922661916]
[262],[387.40326922661916]
[259],[391.2464646773442]
[259],[391.2464646773442]
[256],[394.6879813743435]
[256],[394.6879813743435]
[254],[396.80268544996215]
[254],[396.80268544996215]
[250],[400.7175353765051]
[250],[400.7175353765051]
[246],[404.3791704680334]
[246],[404.3791704680334]
[241],[408.8782311924879]
[241],[408.8782311924879]
[234],[415.54657181289804]
[234],[415.54657181289804]
[224],[426.5857324892859]
[224],[426.5857324892859]
[222],[429.0018738317449]
[221],[430.2270279855147]
[221],[430.2270279855147]
[210],[443.4432000672241]
[209],[444.50008556809917]
[209],[444.50008556809917]
[206],[447.3390842507506]
[205],[448.14837992218963]
[205],[448.14837992218963]
[204],[448.8747687465657]
[203],[449.50891109863005]
[201],[450.4606694072281]
[201],[450.4606694072281]
[200],[450.7571503116196]
[200],[450.7571503116196]
[201],[450.4606694072281]
[227],[423.07514103934227]
[224],[426.5857324892859]
[223],[427.7873795375199]
[221],[430.2270279855147]
[220],[431.4603346852964]
[220],[431.4603346852964]
[224],[426.5857324892859]
[224],[426.5857324892859]
[227],[423.07514103934227]
[228],[421.94067707094655]
[228],[421.94067707094655]
[232],[417.59918086360267]
[232],[417.59918086360267]
[234],[415.54657181289804]
[233],[416.5633118957194]
[237],[412.60277403758664]
[240],[409.7926858111314]
[245],[405.2770847669017]
[245],[405.2770847669017]
[249],[401.64913668508234]
[249],[401.64913668508234]
[253],[397.8159161174117]
[253],[397.8159161174117]
[256],[394.6879813743435]
[256],[394.6879813743435]
[259],[391.2464646773442]
[259],[391.2464646773442]
[262],[387.40326922661916]
[262],[387.40326922661916]
[264],[384.5750387021835]
[264],[384.5750387021835]
[266],[381.5047746810742]
[266],[381.5047746810742]
[268],[378.16858286930074]
[268],[378.16858286930074]
[270],[374.54386225804046]
[270],[374.54386225804046]
[273],[368.5203218219831]
[273],[368.5203218219831]
[275],[364.08651695722074]
[275],[364.08651695722074]
[276],[361.73803748535283]
[276],[361.73803748535283]
[277],[359.29947234150313]
[277],[359.29947234150313]
[278],[356.7692584037577]
[278],[356.7692584037577]
[280],[351.4285458667]
[280],[351.4285458667]
[281],[348.6158625557582]
[281],[348.6158625557582]
[282],[345.7071792429342]
[282],[345.7071792429342]
[283],[342.7019289867749]
[283],[342.7019289867749]
[284],[339.5997714064579]
[284],[339.5997714064579]
[285],[336.40060178954445]
[285],[336.40060178954445]
[286],[333.1045602000813]
[286],[333.1045602000813]
[288],[326.2236998928274]
[288],[326.2236998928274]
[289],[322.64046716057055]
[289],[322.64046716057055]
[290],[318.96355264257]
[290],[318.96355264257]
[291],[315.19445690845896]
[291],[315.19445690845896]
[292],[311.33497995366633]
[292],[311.33497995366633]
[293],[307.38723030693654]
[293],[307.38723030693654]
[296],[295.04024978094094]
[297],[290.76698411368125]
[333],[149.26719005622726]
[333],[149.26719005622726]
[331],[151.78814311938186]
[329],[155.63660449821327]
[328],[158.0059480242926]
[326],[163.53521519056812]
[325],[166.65721174499777]
[327],[160.64524550743226]
[327],[160.64524550743226]
[328],[158.0059480242926]
[327],[160.64524550743226]
[326],[163.53521519056812]
[326],[163.53521519056812]
[326],[163.53521519056812]
[327],[160.64524550743226]
[328],[158.0059480242926]
[329],[155.63660449821327]
[329],[155.63660449821327]
[328],[158.0059480242926]
[328],[158.0059480242926]
[327],[160.64524550743226]
[328],[158.0059480242926]
[327],[160.64524550743226]
[327],[160.64524550743226]
[326],[163.53521519056812]
[326],[163.53521519056812]
[325],[166.65721174499777]
[325],[166.65721174499777]
[324],[169.99321715890255]
[325],[166.65721174499777]
[325],[166.65721174499777]
[324],[169.99321715890255]
[324],[169.99321715890255]
[323],[173.52583163122472]
[323],[173.52583163122472]
[322],[177.23826446228486]
[322],[177.23826446228486]
[321],[181.11432494765904]
[321],[181.11432494765904]
[320],[185.13841326693364]
[320],[185.13841326693364]
[319],[189.295511378863]
[319],[189.295511378863]
[318],[193.57117391035717]
[318],[193.57117391035717]
[317],[197.95151905070816]
[317],[197.95151905070816]
[316],[202.423219441509]
[316],[202.423219441509]
[315],[206.97349307006516]
[314],[211.59009416117624]
[314],[211.59009416117624]
[315],[206.97349307006516]
[315],[206.97349307006516]
[316],[202.423219441509]
[316],[202.423219441509]
[318],[193.57117391035717]
[317],[197.95151905070816]
[317],[197.95151905070816]
[316],[202.423219441509]
[316],[202.423219441509]
[315],[206.97349307006516]
[315],[206.97349307006516]
[314],[211.59009416117624]
[314],[211.59009416117624]
[313],[216.2613040663564]
[313],[216.2613040663564]
[312],[220.97592215980694]
[312],[220.97592215980694]
[311],[225.7232567283354]
[311],[225.7232567283354]
[310],[230.49311586150725]
[310],[230.49311586150725]
[309],[235.2757983464544]
[309],[235.2757983464544]
[308],[240.06208455837623]
[308],[240.06208455837623]
[307],[244.8432273518556]
[307],[244.8432273518556]
[308],[240.06208455837623]
[307],[244.8432273518556]
[306],[249.61094295392104]
[306],[249.61094295392104]
[305],[254.3574018553627]
[305],[254.3574018553627]
[306],[249.61094295392104]
[305],[254.3574018553627]
[304],[259.0752197023976]
[305],[254.3574018553627]
[304],[259.0752197023976]
[303],[263.75744818845124]
[303],[263.75744818845124]
[302],[268.397565946987]
[302],[268.397565946987]
[300],[277.52746386158105]
[300],[277.52746386158105]
[299],[282.0062540074141]
[299],[282.0062540074141]
[298],[286.42093518895854]
[298],[286.42093518895854]
[297],[290.76698411368125]
[297],[290.76698411368125]
[296],[295.04024978094094]
[296],[295.04024978094094]
[295],[299.23694437097583]
[295],[299.23694437097583]
[294],[303.35363413913]
[295],[299.23694437097583]
[296],[295.04024978094094]
[296],[295.04024978094094]
[295],[299.23694437097583]
[295],[299.23694437097583]
[294],[303.35363413913]
[294],[303.35363413913]
[295],[299.23694437097583]
[295],[299.23694437097583]
[296],[295.04024978094094]
[296],[295.04024978094094]
[297],[290.76698411368125]
[297],[290.76698411368125]
[299],[282.0062540074141]
[299],[282.0062540074141]
[301],[272.9894694422401]
[301],[272.9894694422401]
[302],[268.397565946987]
[302],[268.397565946987]
[303],[263.75744818845124]
[303],[263.75744818845124]
[304],[259.0752197023976]
[304],[259.0752197023976]
[305],[254.3574018553627]
[305],[254.3574018553627]
[306],[249.61094295392104]
[306],[249.61094295392104]
[307],[244.8432273518556]
[307],[244.8432273518556]
[308],[240.06208455837623]
[308],[240.06208455837623]
[309],[235.2757983464544]
[309],[235.2757983464544]
[310],[230.49311586150725]
