X,Y
[225],[400.8765670399607]
[225],[400.8765670399607]
[224],[403.0839565599108]
[224],[403.0839565599108]
[223],[405.2804141110555]
[223],[405.2804141110555]
[222],[407.46542273775594]
[222],[407.46542273775594]
[221],[409.6384972681135]
[221],[409.6384972681135]
[219],[413.94707470017784]
[219],[413.94707470017784]
[218],[416.0817848206152]
[218],[416.0817848206152]
[217],[418.2029794253922]
[217],[418.2029794253922]
[216],[420.31036333447446]
[216],[420.31036333447446]
[215],[422.40368558088994]
[215],[422.40368558088994]
[214],[424.4827414822885]
[214],[424.4827414822885]
[213],[426.5473747123997]
[213],[426.5473747123997]
[212],[428.59747937270913]
[212],[428.59747937270913]
[211],[430.63300206397435]
[211],[430.63300206397435]
[210],[432.65394395767544]
[210],[432.65394395767544]
[209],[434.66036286770577]
[209],[434.66036286770577]
[208],[436.65237532191713]
[208],[436.65237532191713]
[207],[438.63015863355577]
[207],[438.63015863355577]
[206],[440.5939529729021]
[206],[440.5939529729021]
[205],[442.5440634388451]
[205],[442.5440634388451]
[204],[444.4808621304055]
[204],[444.4808621304055]
[203],[446.40479021822284]
[203],[446.40479021822284]
[202],[448.3163600162534]
[202],[448.3163600162534]
[201],[450.2161570531989]
[201],[450.2161570531989]
[199],[453.9831534619243]
[199],[453.9831534619243]
[198],[455.85190860906187]
[198],[455.85190860906187]
[197],[457.71200668893835]
[197],[457.71200668893835]
[196],[459.5644303775134]
[196],[459.5644303775134]
[195],[461.4102479948724]
[195],[461.4102479948724]
[194],[463.25061557676054]
[194],[463.25061557676054]
[193],[465.0867789461354]
[193],[465.0867789461354]
[192],[466.9200757847266]
[192],[466.9200757847266]
[191],[468.7519377046283]
[191],[468.7519377046283]
[192],[466.9200757847266]
[193],[465.0867789461354]
[193],[465.0867789461354]
[194],[463.25061557676054]
[194],[463.25061557676054]
[195],[461.4102479948724]
[195],[461.4102479948724]
[196],[459.5644303775134]
[196],[459.5644303775134]
[197],[457.71200668893835]
[197],[457.71200668893835]
[198],[455.85190860906187]
[198],[455.85190860906187]
[199],[453.9831534619243]
[199],[453.9831534619243]
[200],[452.1048421440955]
[200],[452.1048421440955]
[201],[450.2161570531989]
[201],[450.2161570531989]
[202],[448.3163600162534]
[202],[448.3163600162534]
[203],[446.40479021822284]
[203],[446.40479021822284]
[204],[444.4808621304055]
[204],[444.4808621304055]
[205],[442.5440634388451]
[205],[442.5440634388451]
[206],[440.5939529729021]
[206],[440.5939529729021]
[207],[438.63015863355577]
[207],[438.63015863355577]
[208],[436.65237532191713]
[208],[436.65237532191713]
[209],[434.66036286770577]
[209],[434.66036286770577]
[210],[432.65394395767544]
[210],[432.65394395767544]
[211],[430.63300206397435]
[211],[430.63300206397435]
[212],[428.59747937270913]
[212],[428.59747937270913]
[213],[426.5473747123997]
[213],[426.5473747123997]
[214],[424.4827414822885]
[214],[424.4827414822885]
[215],[422.40368558088994]
[215],[422.40368558088994]
[216],[420.31036333447446]
[216],[420.31036333447446]
[217],[418.2029794253922]
[217],[418.2029794253922]
[218],[416.0817848206152]
[218],[416.0817848206152]
[219],[413.94707470017784]
[219],[413.94707470017784]
[220],[411.79918638552954]
[220],[411.79918638552954]
[221],[409.6384972681135]
[221],[409.6384972681135]
[222],[407.46542273775594]
[222],[407.46542273775594]
[223],[405.2804141110555]
[223],[405.2804141110555]
[224],[403.0839565599108]
[224],[403.0839565599108]
[225],[400.8765670399607]
[225],[400.8765670399607]
[227],[396.43120640528105]
[227],[396.43120640528105]
[226],[398.65879221894465]
[225],[400.8765670399607]
[224],[403.0839565599108]
[225],[400.8765670399607]
[325],[163.71170823842294]
[325],[163.71170823842294]
[324],[168.1033130647138]
[324],[168.1033130647138]
[325],[163.71170823842294]
[326],[159.15874554745278]
[326],[159.15874554745278]
[325],[163.71170823842294]
[325],[163.71170823842294]
[324],[168.1033130647138]
[322],[176.43004552780076]
[323],[172.34050348824712]
[322],[176.43004552780076]
[322],[176.43004552780076]
[321],[180.37852983044468]
[321],[180.37852983044468]
[320],[184.19237374320983]
[320],[184.19237374320983]
[319],[187.87782338452416]
[319],[187.87782338452416]
[318],[191.4409557158233]
[318],[191.4409557158233]
[317],[194.88768061319024]
[317],[194.88768061319024]
[316],[198.22374293876237]
[316],[198.22374293876237]
[315],[201.45472461225472]
[315],[201.45472461225472]
[314],[204.5860466828326]
[314],[204.5860466828326]
[313],[207.62297140034389]
[313],[207.62297140034389]
[312],[210.57060428681325]
[312],[210.57060428681325]
[311],[213.43389620841663]
[311],[213.43389620841663]
[310],[216.21764544656799]
[310],[216.21764544656799]
[309],[218.9264997697337]
[309],[218.9264997697337]
[308],[221.56495850489773]
[308],[221.56495850489773]
[307],[224.1373746092595]
[307],[224.1373746092595]
[306],[226.64795674162633]
[306],[226.64795674162633]
[305],[229.10077133389314]
[305],[229.10077133389314]
[304],[231.4997446628131]
[304],[231.4997446628131]
[303],[233.8486649215356]
[303],[233.8486649215356]
[302],[236.15118429091126]
[302],[236.15118429091126]
[301],[238.4108210114373]
[301],[238.4108210114373]
[300],[240.63096145427153]
[300],[240.63096145427153]
[299],[242.81486219330873]
[299],[242.81486219330873]
[298],[244.96565207657295]
[298],[244.96565207657295]
[297],[247.0863342976245]
[297],[247.0863342976245]
[296],[249.17978846724327]
[296],[249.17978846724327]
[295],[251.24877268493765]
[295],[251.24877268493765]
[294],[253.29592561049685]
[294],[253.29592561049685]
[293],[255.32376853568894]
[293],[255.32376853568894]
[291],[259.3310351400596]
[291],[259.3310351400596]
[290],[261.3149332058256]
[290],[261.3149332058256]
[289],[263.288474187475]
[289],[263.288474187475]
[287],[267.2122420565447]
[287],[267.2122420565447]
[286],[269.16608724753496]
[286],[269.16608724753496]
[279],[282.83635566216435]
[279],[282.83635566216435]
[278],[284.8036321958516]
[277],[286.777667715638]
[275],[290.7493075568509]
[275],[290.7493075568509]
[274],[292.74835967102445]
[273],[294.75707049995435]
[274],[292.74835967102445]
[266],[309.1246528069187]
[265],[311.22412689743396]
[265],[311.22412689743396]
[261],[319.7420342551941]
[262],[317.5947337839916]
[263],[315.45923044122355]
[263],[315.45923044122355]
[278],[284.8036321958516]
[278],[284.8036321958516]
[281],[278.9182947993413]
[282],[276.96540546357755]
[282],[276.96540546357755]
[281],[278.9182947993413]
[281],[278.9182947993413]
[280],[280.8749129819935]
[280],[280.8749129819935]
[278],[284.8036321958516]
[278],[284.8036321958516]
[277],[286.777667715638]
[277],[286.777667715638]
[276],[288.759305202404]
[276],[288.759305202404]
[275],[290.7493075568509]
[275],[290.7493075568509]
[274],[292.74835967102445]
[274],[292.74835967102445]
[273],[294.75707049995435]
[272],[296.77597513306137]
[273],[294.75707049995435]
[272],[296.77597513306137]
[271],[298.80553686592793]
[272],[296.77597513306137]
[271],[298.80553686592793]
[270],[300.8461492716324]
[270],[300.8461492716324]
[269],[302.898138272345]
[269],[302.898138272345]
[268],[304.9617642110552]
[268],[304.9617642110552]
[267],[307.03722392292]
[267],[307.03722392292]
[266],[309.1246528069187]
[266],[309.1246528069187]
[265],[311.22412689743396]
[265],[311.22412689743396]
[263],[315.45923044122355]
[263],[315.45923044122355]
[261],[319.7420342551941]
[261],[319.7420342551941]
[260],[321.9009421392566]
[260],[321.9009421392566]
[259],[324.07122078525026]
[259],[324.07122078525026]
[258],[326.25258867853154]
[258],[326.25258867853154]
[259],[324.07122078525026]
[258],[326.25258867853154]
[256],[330.6472542586289]
[255],[332.8597832412943]
[254],[335.08186820587616]
[255],[332.8597832412943]
[254],[335.08186820587616]
[251],[341.800551288472]
[254],[335.08186820587616]
[255],[332.8597832412943]
[255],[332.8597832412943]
[254],[335.08186820587616]
[254],[335.08186820587616]
[253],[337.31303439219664]
[253],[337.31303439219664]
[252],[339.552774605605]
[252],[339.552774605605]
[251],[341.800551288472]
[251],[341.800551288472]
[250],[344.05579859200407]
[250],[344.05579859200407]
[249],[346.31792444751954]
[249],[346.31792444751954]
[248],[348.58631263801544]
[248],[348.58631263801544]
[247],[350.86032486996737]
[247],[350.86032486996737]
[246],[353.13930284459093]
[246],[353.13930284459093]
[245],[355.42257032967063]
[245],[355.42257032967063]
[244],[357.70943523085043]
[244],[357.70943523085043]
[243],[359.99919166338987]
[243],[359.99919166338987]
[242],[362.2911220236292]
[242],[362.2911220236292]
[241],[364.5844990604546]
[241],[364.5844990604546]
[240],[366.8785879470979]
[240],[366.8785879470979]
[239],[369.17264835245624]
[239],[369.17264835245624]
[238],[371.46593651271724]
[238],[371.46593651271724]
[237],[373.7577073029697]
[237],[373.7577073029697]
[236],[376.0472163087052]
[236],[376.0472163087052]
[235],[378.3337218973702]
[235],[378.3337218973702]
[234],[380.6164872899408]
[234],[380.6164872899408]
[233],[382.89478263244564]
[233],[382.89478263244564]
[232],[385.1678870675478]
[232],[385.1678870675478]
[231],[387.43509080611875]
[231],[387.43509080611875]
[232],[385.1678870675478]
[231],[387.43509080611875]
[231],[387.43509080611875]
[230],[389.69569719871834]
[230],[389.69569719871834]
[229],[391.94902480725614]
[229],[391.94902480725614]
[228],[394.19440947641306]
[228],[394.19440947641306]
[228],[394.19440947641306]
[230],[389.69569719871834]
[230],[389.69569719871834]
[231],[387.43509080611875]
[232],[385.1678870675478]
[231],[387.43509080611875]
[232],[385.1678870675478]
[232],[385.1678870675478]
[233],[382.89478263244564]
[233],[382.89478263244564]
[232],[385.1678870675478]
[232],[385.1678870675478]
[235],[378.3337218973702]
[236],[376.0472163087052]
[236],[376.0472163087052]
[236],[376.0472163087052]
[237],[373.7577073029697]
[237],[373.7577073029697]
[238],[371.46593651271724]
[238],[371.46593651271724]
[239],[369.17264835245624]
[239],[369.17264835245624]
[240],[366.8785879470979]
[240],[366.8785879470979]
[241],[364.5844990604546]
[241],[364.5844990604546]
[243],[359.99919166338987]
[243],[359.99919166338987]
[245],[355.42257032967063]
[245],[355.42257032967063]
[246],[353.13930284459093]
[246],[353.13930284459093]
[247],[350.86032486996737]
[247],[350.86032486996737]
[248],[348.58631263801544]
[248],[348.58631263801544]
[249],[346.31792444751954]
[249],[346.31792444751954]
[250],[344.05579859200407]
[250],[344.05579859200407]
[251],[341.800551288472]
[251],[341.800551288472]
[252],[339.552774605605]
[252],[339.552774605605]
[253],[337.31303439219664]
[253],[337.31303439219664]
[254],[335.08186820587616]
[254],[335.08186820587616]
[255],[332.8597832412943]
[255],[332.8597832412943]
[256],[330.6472542586289]
[256],[330.6472542586289]
[257],[328.44472151214904]
[257],[328.44472151214904]
[258],[326.25258867853154]
[258],[326.25258867853154]
[259],[324.07122078525026]
[259],[324.07122078525026]
[261],[319.7420342551941]
[261],[319.7420342551941]
[260],[321.9009421392566]
[262],[317.5947337839916]
[262],[317.5947337839916]
[263],[315.45923044122355]
[263],[315.45923044122355]
