X,Y
[66],[132.59089184443775]
[66],[132.59089184443775]
[71],[136.49386482610484]
[72],[137.24725577713394]
[75],[139.45516554301827]
[76],[140.17410313385327]
[79],[142.28142358051844]
[80],[142.96774176342032]
[82],[144.31686074266125]
[83],[144.97987998340287]
[85],[146.28337682387155]
[86],[146.9240670808663]
[88],[148.18385574447336]
[89],[148.80316109097117]
[91],[150.02110408318765]
[92],[150.61994302116238]
[93],[151.21215955999594]
[94],[151.7978520187948]
[95],[152.37711779283197]
[96],[152.9500533574223]
[97],[153.5167542717976]
[98],[154.07731518298175]
[100],[155.18039104608363]
[101],[155.723090765886]
[102],[156.26002002601692]
[103],[156.79126897058802]
[104],[157.31692685475406]
[105],[157.837082048588]
[106],[158.35182204095605]
[107],[158.86123344339293]
[108],[159.36540199397714]
[109],[159.8644125612058]
[110],[160.35834914787011]
[111],[160.8472948949303]
[112],[161.3313320853909]
[113],[161.81054214817595]
[114],[162.28500566200393]
[115],[162.75480235926312]
[116],[163.22001112988676]
[118],[164.13697626193502]
[119],[164.58888622582688]
[120],[165.03651547576777]
[121],[165.47993874754255]
[122],[165.919229957732]
[123],[166.3544622075878]
[125],[167.21303817791116]
[127],[168.0562353092016]
[128],[168.47224101090984]
[129],[168.88460945489373]
[131],[169.69870379517246]
[132],[170.1005623472647]
[134],[170.8942280247051]
[135],[171.28616315801128]
[137],[172.060552290738]
[138],[172.44312972003007]
[139],[172.82271008639458]
[140],[173.19935322338844]
[142],[173.94406341948604]
[143],[174.31224643332314]
[145],[175.04055266896364]
[146],[175.40078745342117]
[148],[176.1136938389937]
[149],[176.46647268043648]
[151],[177.16494442539275]
[152],[177.51074031666036]
[154],[178.1957043572897]
[155],[178.53497131158463]
[156],[178.87215961015707]
[157],[179.20731693878898]
[159],[179.87172603474104]
[160],[180.20106979063274]
[162],[180.85426067331517]
[163],[181.17819579186403]
[165],[181.82096043360207]
[166],[182.13987402148885]
[168],[182.77296905106252]
[169],[183.08723070013926]
[171],[183.71137803055854]
[172],[184.02134013173594]
[173],[184.32994443157935]
[174],[184.6372275880156]
[176],[185.24797403714413]
[177],[185.55150759208558]
[179],[186.1550664960673]
[180],[186.4551585058093]
[183],[187.3490723282791]
[184],[187.64502711420428]
[185],[187.94002433426672]
[186],[188.2340935363019]
[188],[188.81956324491134]
[189],[189.11102002606128]
[191],[189.6915139549761]
[192],[189.9806040547804]
[194],[190.55659881885688]
[195],[190.84355318238482]
[197],[191.41549612142646]
[197],[191.41549612142646]
[198],[191.7005312131649]
[199],[191.98497219325296]
[200],[192.2688410196976]
[201],[192.55215913743857]
[203],[193.11722648448594]
