X,Y
[163],[298.2940110439921]
[162],[298.59285469415806]
[131],[310.25824395516656]
[130],[310.7499938880589]
[127],[312.28583432738657]
[126],[312.8189103506122]
[125],[313.3630265591744]
[121],[315.6557714568981]
[120],[316.2595308920422]
[119],[316.8761344565227]
[118],[317.5058964115154]
[116],[318.8061722538264]
[115],[319.4773344386109]
[114],[320.16295164819246]
[108],[324.5992068081726]
[107],[325.3955929995335]
[106],[326.20922160690577]
[106],[326.20922160690577]
[105],[327.0404596368745]
[103],[328.757252985984]
[102],[329.64356337236427]
[101],[330.5489933551722]
[101],[330.5489933551722]
[99],[332.41876911836937]
[98],[333.3839041562177]
[97],[334.369737344765]
[95],[336.40512442844584]
[96],[335.37667415459373]
[96],[335.37667415459373]
[95],[336.40512442844584]
[94],[337.4555024008974]
[93],[338.52822671803534]
[92],[339.623720457134]
[93],[338.52822671803534]
[94],[337.4555024008974]
[94],[337.4555024008974]
[93],[338.52822671803534]
[91],[340.742411146331]
[91],[340.742411146331]
[89],[343.0511158599438]
[89],[343.0511158599438]
[88],[344.2420073720373]
[89],[343.0511158599438]
[87],[345.4578508489367]
[87],[345.4578508489367]
[86],[346.69909636823917]
[86],[346.69909636823917]
[87],[345.4578508489367]
[84],[349.25961670872186]
[85],[347.9661985764627]
[85],[347.9661985764627]
[84],[349.25961670872186]
[84],[349.25961670872186]
[82],[351.9272607468463]
[82],[351.9272607468463]
[81],[353.30242824301047]
[81],[353.30242824301047]
[82],[351.9272607468463]
[81],[353.30242824301047]
[81],[353.30242824301047]
[80],[354.7057948831605]
[81],[353.30242824301047]
[80],[354.7057948831605]
[80],[354.7057948831605]
[79],[356.13784314053765]
[79],[356.13784314053765]
[78],[357.5990601950375]
[78],[357.5990601950375]
[77],[359.08993795288586]
[77],[359.08993795288586]
[75],[362.1626669532387]
[75],[362.1626669532387]
[74],[363.7455258169315]
[74],[363.7455258169315]
[73],[365.3600606657017]
[73],[365.3600606657017]
[72],[367.0067873325688]
[72],[367.0067873325688]
[71],[368.68622649494046]
[71],[368.68622649494046]
[69],[372.1453493558194]
[69],[372.1453493558194]
[67],[375.74169230304096]
[67],[375.74169230304096]
[66],[377.5926750349364]
[66],[377.5926750349364]
[65],[379.479597160783]
[65],[379.479597160783]
[64],[381.40301381963354]
[64],[381.40301381963354]
[63],[383.3634851523383]
[63],[383.3634851523383]
[62],[385.36157632122035]
[62],[385.36157632122035]
[60],[389.47290404223395]
[60],[389.47290404223395]
[59],[391.5872962034642]
[59],[391.5872962034642]
[57],[395.93646437194036]
[57],[395.93646437194036]
[56],[398.17242664838244]
[56],[398.17242664838244]
[55],[400.4501071513182]
[55],[400.4501071513182]
[52],[407.5395444560892]
[52],[407.5395444560892]
[51],[409.9902103735017]
[51],[409.9902103735017]
[49],[415.02657630367247]
[49],[415.02657630367247]
[47],[420.2472290787522]
[47],[420.2472290787522]
[46],[422.92827348961214]
[46],[422.92827348961214]
[45],[425.65733284780055]
[45],[425.65733284780055]
[44],[428.4350660667907]
[44],[428.4350660667907]
[42],[434.1392167373524]
[42],[434.1392167373524]
[41],[437.0669790711815]
[41],[437.0669790711815]
[40],[440.0461050696799]
[39],[443.07728081968907]
[39],[443.07728081968907]
[38],[446.16119790175253]
[38],[446.16119790175253]
[37],[449.29855340979225]
[37],[449.29855340979225]
[34],[459.0383045428652]
[34],[459.0383045428652]
[35],[455.73639576443765]
[38],[446.16119790175253]
[37],[449.29855340979225]
[38],[446.16119790175253]
[38],[446.16119790175253]
[39],[443.07728081968907]
[40],[440.0461050696799]
[40],[440.0461050696799]
[41],[437.0669790711815]
[42],[434.1392167373524]
[43],[431.26213745537734]
[43],[431.26213745537734]
[45],[425.65733284780055]
[45],[425.65733284780055]
[47],[420.2472290787522]
[47],[420.2472290787522]
[48],[417.6135460773922]
[49],[415.02657630367247]
[50],[412.48567691202584]
[50],[412.48567691202584]
[49],[415.02657630367247]
[49],[415.02657630367247]
[53],[405.1330522050419]
[52],[407.5395444560892]
[52],[407.5395444560892]
[53],[405.1330522050419]
[55],[400.4501071513182]
[56],[398.17242664838244]
[56],[398.17242664838244]
[55],[400.4501071513182]
[55],[400.4501071513182]
[54],[402.77011192320066]
[53],[405.1330522050419]
[54],[402.77011192320066]
[56],[398.17242664838244]
[56],[398.17242664838244]
[57],[395.93646437194036]
[57],[395.93646437194036]
[59],[391.5872962034642]
[60],[389.47290404223395]
[61],[387.3978575297528]
[61],[387.3978575297528]
[63],[383.3634851523383]
[65],[379.479597160783]
[65],[379.479597160783]
[66],[377.5926750349364]
[67],[375.74169230304096]
[68],[373.92609880816434]
[69],[372.1453493558194]
[70],[370.398903694287]
[70],[370.398903694287]
[71],[368.68622649494046]
[72],[367.0067873325688]
[72],[367.0067873325688]
[73],[365.3600606657017]
[73],[365.3600606657017]
[72],[367.0067873325688]
[72],[367.0067873325688]
[70],[370.398903694287]
[71],[368.68622649494046]
[71],[368.68622649494046]
[73],[365.3600606657017]
[78],[357.5990601950375]
[78],[357.5990601950375]
[76],[360.6109730663147]
[75],[362.1626669532387]
[75],[362.1626669532387]
[76],[360.6109730663147]
[78],[357.5990601950375]
[77],[359.08993795288586]
[77],[359.08993795288586]
[79],[356.13784314053765]
[79],[356.13784314053765]
[80],[354.7057948831605]
[81],[353.30242824301047]
[84],[349.25961670872186]
