X,Y
[322],[172.1044635576659]
[322],[172.1044635576659]
[321],[176.59788663335758]
[321],[176.59788663335758]
[320],[180.93758800355545]
[320],[180.93758800355545]
[319],[185.12796832425784]
[319],[185.12796832425784]
[318],[189.17334058646202]
[318],[189.17334058646202]
[317],[193.07793098997035]
[317],[193.07793098997035]
[316],[196.8458798172619]
[316],[196.8458798172619]
[315],[200.48124230733492]
[315],[200.48124230733492]
[314],[203.98798952975312]
[314],[203.98798952975312]
[313],[207.37000925840084]
[313],[207.37000925840084]
[312],[210.63110684534013]
[312],[210.63110684534013]
[311],[213.77500609474055]
[311],[213.77500609474055]
[310],[216.80535013675808]
[310],[216.80535013675808]
[309],[219.72570230146493]
[309],[219.72570230146493]
[308],[222.5395469925902]
[308],[222.5395469925902]
[307],[225.2502905615588]
[307],[225.2502905615588]
[306],[227.8612621813195]
[306],[227.8612621813195]
[305],[230.37571472012905]
[305],[230.37571472012905]
[304],[232.79682561561322]
[304],[232.79682561561322]
[303],[235.1276977484854]
[303],[235.1276977484854]
[302],[237.37136031646924]
[302],[237.37136031646924]
[301],[239.53076970832308]
[301],[239.53076970832308]
[300],[241.6088103775005]
[300],[241.6088103775005]
[299],[243.60829571616023]
[299],[243.60829571616023]
[298],[245.53196892901587]
[298],[245.53196892901587]
[297],[247.3825039072658]
[297],[247.3825039072658]
[295],[250.87451340003145]
[295],[250.87451340003145]
[294],[252.5209969940156]
[294],[252.5209969940156]
[292],[255.62694962986689]
[292],[255.62694962986689]
[290],[258.4988329293669]
[290],[258.4988329293669]
[286],[263.6092394503835]
[286],[263.6092394503835]
[280],[269.9244076039363]
[280],[269.9244076039363]
[275],[274.1829231993365]
[274],[274.94291608680624]
[271],[277.06282747716295]
[270],[277.72003796058607]
[269],[278.3543858160051]
[268],[278.9669149798615]
[266],[280.13047836668966]
[265],[280.6833884724224]
[264],[281.21823339980665]
[262],[282.2370377503871]
[260],[283.19312944627063]
[258],[284.092154836148]
[257],[284.52187724486475]
[256],[284.93919655382024]
[255],[285.3446645996305]
[253],[286.12209643902725]
[252],[286.4950087181246]
[251],[286.8579684528818]
[250],[287.2113775354851]
[248],[287.8910153504662]
[247],[288.21791452646767]
[245],[288.84736262160413]
[244],[289.15043613235366]
[243],[289.44605489044307]
[242],[289.73442631870466]
[240],[290.29015587000004]
[239],[290.5578304532287]
[235],[291.5634658161948]
[234],[291.7990641992478]
[231],[292.4688641281832]
[230],[292.6799043987162]
[224],[293.818111723293]
[223],[293.98632405928265]
[218],[294.7333871770502]
[217],[294.86372401762173]
[208],[295.7430688938389]
[207],[295.80785259413506]
[192],[296.03780068657807]
[191],[296.0101624503336]
[171],[295.21725792148254]
[170],[295.2135727268619]
[168],[295.2357830065562]
[167],[295.2638426473609]
[164],[295.42977303559064]
[163],[295.5164756778763]
[159],[296.0562941448902]
[158],[296.24682436209014]
[156],[296.70555877677225]
[156],[296.70555877677225]
[195],[296.0933600116282]
[196],[296.1018967262794]
[209],[295.671700170597]
[210],[295.5937322091472]
[218],[294.7333871770502]
[219],[294.59663840444455]
[225],[293.6437178383353]
[226],[293.4631726956218]
[230],[292.6799043987162]
[231],[292.4688641281832]
[236],[291.32161934889564]
[237],[291.07345591541934]
[239],[290.5578304532287]
[240],[290.29015587000004]
[246],[288.5366056852731]
[247],[288.21791452646767]
[248],[287.8910153504662]
[249],[287.5556104908251]
[250],[287.2113775354851]
[251],[286.8579684528818]
[253],[286.12209643902725]
[254],[285.73880148229773]
[256],[284.93919655382024]
[257],[284.52187724486475]
[258],[284.092154836148]
[259],[283.64944488048104]
[260],[283.19312944627063]
[261],[282.7225562435965]
[262],[282.2370377503871]
[263],[281.73585033848985]
[265],[280.6833884724224]
[267],[279.5586262914044]
[268],[278.9669149798615]
[269],[278.3543858160051]
[270],[277.72003796058607]
[272],[276.381666458376]
[273],[275.67542215192634]
[275],[274.1829231993365]
[276],[273.3941709592805]
[278],[271.7250557248449]
[279],[270.8419024724976]
[283],[266.95037916780393]
[283],[266.95037916780393]
[287],[262.40569715836]
[287],[262.40569715836]
