coors
"(147, 287.7085758044923)"
"(146, 288.31961624156435)"
"(131, 298.49588766834347)"
"(130, 299.249696480157)"
"(128, 300.7889760954797)"
"(127, 301.5748473341446)"
"(126, 302.37181073445197)"
"(125, 303.180072910575)"
"(121, 306.53033234527066)"
"(120, 307.3982784910291)"
"(119, 308.27881781379347)"
"(117, 310.07857858457663)"
"(116, 310.998258037426)"
"(111, 315.8040499853056)"
"(110, 316.80837612396743)"
"(109, 317.82766734959074)"
"(108, 318.86217602676277)"
"(107, 319.91215733301306)"
"(106, 320.97786927234034)"
"(106, 320.97786927234034)"
"(105, 322.0595726887389)"
"(104, 323.15753127972545)"
"(103, 324.27201160986635)"
"(102, 325.4032831243041)"
"(101, 326.55161816228406)"
"(100, 327.7172919706813)"
"(99, 328.90058271752787)"
"(98, 330.101771505539)"
"(99, 328.90058271752787)"
"(98, 330.101771505539)"
"(97, 331.3211423856401)"
"(96, 332.5589823704937)"
"(95, 333.81558144802653)"
"(95, 333.81558144802653)"
"(96, 332.5589823704937)"
"(96, 332.5589823704937)"
"(95, 333.81558144802653)"
"(93, 336.38623179031447)"
"(92, 337.7008780289832)"
"(92, 337.7008780289832)"
"(91, 339.03547333521124)"
"(91, 339.03547333521124)"
"(89, 341.7657344753611)"
"(89, 341.7657344753611)"
"(88, 343.1620196263796)"
"(89, 341.7657344753611)"
"(87, 344.5794925062042)"
"(87, 344.5794925062042)"
"(86, 346.01847048884235)"
"(86, 346.01847048884235)"
"(87, 344.5794925062042)"
"(84, 348.9622268247761)"
"(85, 347.47927405883365)"
"(85, 347.47927405883365)"
"(84, 348.9622268247761)"
"(84, 348.9622268247761)"
"(81, 353.5472635292383)"
"(81, 353.5472635292383)"
"(82, 351.99589008036276)"
"(81, 353.5472635292383)"
"(81, 353.5472635292383)"
"(80, 355.12211211958197)"
"(79, 356.7207752831879)"
"(80, 355.12211211958197)"
"(81, 353.5472635292383)"
"(80, 355.12211211958197)"
"(80, 355.12211211958197)"
"(79, 356.7207752831879)"
"(79, 356.7207752831879)"
"(78, 358.3435956570697)"
"(78, 358.3435956570697)"
"(77, 359.9909190969879)"
"(77, 359.9909190969879)"
"(75, 363.36047477286695)"
"(75, 363.36047477286695)"
"(74, 365.08341493582174)"
"(74, 365.08341493582174)"
"(73, 366.8322740458542)"
"(73, 366.8322740458542)"
"(72, 368.6074142553589)"
"(72, 368.6074142553589)"
"(71, 370.40920101663755)"
"(71, 370.40920101663755)"
"(69, 374.0941925844216)"
"(69, 374.0941925844216)"
"(67, 377.8902388797851)"
"(67, 377.8902388797851)"
"(66, 379.8308566280929)"
"(66, 379.8308566280929)"
"(65, 381.8003836975398)"
"(65, 381.8003836975398)"
"(64, 383.7992090185296)"
"(64, 383.7992090185296)"
"(63, 385.8277249295875)"
"(63, 385.8277249295875)"
"(62, 387.8863271908872)"
"(62, 387.8863271908872)"
"(60, 392.0953909943114)"
"(60, 392.0953909943114)"
"(59, 394.2466612867677)"
"(59, 394.2466612867677)"
"(57, 398.64472657687696)"
"(57, 398.64472657687696)"
"(55, 403.17292947694784)"
"(55, 403.17292947694784)"
"(52, 410.2166398648383)"
"(52, 410.2166398648383)"
"(51, 412.63330428210156)"
"(51, 412.63330428210156)"
"(49, 417.5723964432001)"
"(49, 417.5723964432001)"
"(47, 422.65546759200754)"
"(47, 422.65546759200754)"
"(46, 425.2521193359723)"
"(46, 425.2521193359723)"
"(45, 427.886121972845)"
"(45, 427.886121972845)"
"(44, 430.5579351655582)"
"(44, 430.5579351655582)"
"(42, 436.0168502770538)"
"(42, 436.0168502770538)"
"(41, 438.80488996909855)"
"(41, 438.80488996909855)"
"(40, 441.6326157905622)"
"(39, 444.5005059329354)"
"(39, 444.5005059329354)"
"(38, 447.4090423340008)"
"(38, 447.4090423340008)"
"(36, 453.3500004759592)"
"(36, 453.3500004759592)"
"(34, 459.45942115855695)"
"(34, 459.45942115855695)"
"(35, 456.3834049456187)"
"(35, 456.3834049456187)"
"(37, 450.3587106913597)"
"(37, 450.3587106913597)"
"(38, 447.4090423340008)"
"(38, 447.4090423340008)"
"(39, 444.5005059329354)"
"(40, 441.6326157905622)"
"(40, 441.6326157905622)"
"(44, 430.5579351655582)"
"(44, 430.5579351655582)"
"(45, 427.886121972845)"
"(45, 427.886121972845)"
"(47, 422.65546759200754)"
"(47, 422.65546759200754)"
"(48, 420.0957107431492)"
"(49, 417.5723964432001)"
"(50, 415.0850759840405)"
"(50, 415.0850759840405)"
"(49, 417.5723964432001)"
"(48, 420.0957107431492)"
"(49, 417.5723964432001)"
"(49, 417.5723964432001)"
"(50, 415.0850759840405)"
"(51, 412.63330428210156)"
"(52, 410.2166398648383)"
"(52, 410.2166398648383)"
"(54, 405.4868849681174)"
"(55, 403.17292947694784)"
"(54, 405.4868849681174)"
"(55, 403.17292947694784)"
"(56, 400.89235121997694)"
"(57, 398.64472657687696)"
"(56, 400.89235121997694)"
"(55, 403.17292947694784)"
"(55, 403.17292947694784)"
"(56, 400.89235121997694)"
"(58, 396.4296354571833)"
"(58, 396.4296354571833)"
"(59, 394.2466612867677)"
"(59, 394.2466612867677)"
"(62, 387.8863271908872)"
"(63, 385.8277249295875)"
"(62, 387.8863271908872)"
"(61, 389.975414997778)"
"(63, 385.8277249295875)"
"(64, 383.7992090185296)"
"(64, 383.7992090185296)"
"(65, 381.8003836975398)"
