X,Y
[330],[315.701706820455]
[332],[322.23057137534124]
[332],[322.23057137534124]
[333],[325.31006789966705]
[333],[325.31006789966705]
[334],[328.27287333673667]
[334],[328.27287333673667]
[335],[331.1238517638085]
[335],[331.1238517638085]
[336],[333.8677971469551]
[336],[333.8677971469551]
[337],[336.5094319042655]
[337],[336.5094319042655]
[339],[341.50429285317296]
[339],[341.50429285317296]
[340],[343.8665932102849]
[340],[343.8665932102849]
[341],[346.14472839908194]
[341],[346.14472839908194]
[342],[348.343041546319]
[342],[348.343041546319]
[343],[350.46579561041654]
[343],[350.46579561041654]
[344],[352.5171719441678]
[344],[352.5171719441678]
[346],[356.4221001862861]
[346],[356.4221001862861]
[347],[358.28359384316354]
[347],[358.28359384316354]
[348],[360.08959039381807]
[348],[360.08959039381807]
[349],[361.8438416133249]
[349],[361.8438416133249]
[351],[365.2116625930321]
[351],[365.2116625930321]
[352],[366.8322790272032]
[352],[366.8322790272032]
[353],[368.4152406043686]
[353],[368.4152406043686]
[355],[371.4812468908749]
[355],[371.4812468908749]
[357],[374.43479414141257]
[357],[374.43479414141257]
[358],[375.8768058615351]
[358],[375.8768058615351]
[360],[378.7052283660414]
[360],[378.7052283660414]
[362],[381.47685315942726]
[362],[381.47685315942726]
[363],[382.8474647395451]
[363],[382.8474647395451]
[365],[385.5695224657211]
[365],[385.5695224657211]
[367],[388.27969710528487]
[367],[388.27969710528487]
[369],[390.99278451484497]
[369],[390.99278451484497]
[371],[393.7217001612553]
[371],[393.7217001612553]
[373],[396.4774331459448]
[373],[396.4774331459448]
[375],[399.2690002279669]
[375],[399.2690002279669]
[377],[402.10339984795064]
[377],[402.10339984795064]
[379],[404.9855661518777]
[379],[404.9855661518777]
[381],[407.9183230142189]
[381],[407.9183230142189]
[384],[412.4131751253699]
[384],[412.4131751253699]
[386],[415.47049931512083]
[386],[415.47049931512083]
[389],[420.1352993693108]
[389],[420.1352993693108]
[391],[423.28628930321065]
[391],[423.28628930321065]
[395],[429.63696410780176]
[395],[429.63696410780176]
[396],[431.2244504590017]
[396],[431.2244504590017]
[397],[432.80770017136456]
[398],[434.38435432145707]
[395],[429.63696410780176]
[395],[429.63696410780176]
[393],[426.4579226701717]
[393],[426.4579226701717]
[391],[423.28628930321065]
[391],[423.28628930321065]
[389],[420.1352993693108]
[389],[420.1352993693108]
[386],[415.47049931512083]
[386],[415.47049931512083]
[383],[410.90233806197284]
[383],[410.90233806197284]
[381],[407.9183230142189]
[381],[407.9183230142189]
[378],[403.5382856740289]
[378],[403.5382856740289]
[376],[400.6804886658756]
[376],[400.6804886658756]
