coors
"(143, 269.4079857678094)"
"(145, 268.6263731684699)"
"(146, 268.24079621728606)"
"(147, 267.85867437699005)"
"(148, 267.47998455962625)"
"(150, 266.73280964589753)"
"(151, 266.36427937402004)"
"(152, 265.999090771632)"
"(153, 265.63722174392416)"
"(155, 264.9233550071185)"
"(156, 264.57131407858276)"
"(158, 263.8769104897904)"
"(159, 263.5345057547313)"
"(161, 262.8591866262251)"
"(162, 262.526231280854)"
"(163, 262.1963850878017)"
"(164, 261.8696280308135)"
"(166, 261.2253021673374)"
"(167, 260.9076942320409)"
"(170, 259.9728593787682)"
"(171, 259.6671809301992)"
"(173, 259.0646119465128)"
"(174, 258.767684733416)"
"(176, 258.1824544437297)"
"(177, 257.89411570325456)"
"(180, 257.04599460185705)"
"(181, 256.7688617602377)"
"(183, 256.2228555389595)"
"(184, 255.9539487770232)"
"(187, 255.1634169005502)"
"(188, 254.90524860097668)"
"(192, 253.89886572442649)"
"(193, 253.6537652838791)"
"(197, 252.6988918784404)"
"(198, 252.46648196567122)"
"(203, 251.3415659278479)"
"(204, 251.1239116909352)"
"(209, 250.07153960897426)"
"(210, 249.86815285421898)"
"(215, 248.88595425016672)"
"(216, 248.69637467548904)"
"(221, 247.78211461323292)"
"(222, 247.60590824167053)"
"(226, 246.92285513103798)"
"(227, 246.75747949443428)"
"(233, 245.80965232547908)"
"(234, 245.6589878972255)"
"(240, 244.79792090418692)"
"(241, 244.66147163039386)"
"(248, 243.7615865584109)"
"(249, 243.64081622478326)"
"(256, 242.84868314589357)"
"(257, 242.7430276785577)"
"(265, 241.96376605539118)"
"(266, 241.87448724874244)"
"(276, 241.07839582444672)"
"(277, 241.00829456561394)"
"(292, 240.1568961483108)"
"(293, 240.11317038712434)"
"(343, 239.82382642001386)"
"(344, 239.85316780577625)"
"(365, 240.75058346228207)"
"(366, 240.80609408908907)"
"(379, 241.62514044946255)"
"(380, 241.69534334324965)"
"(391, 242.5305689791175)"
"(392, 242.61198039190612)"
"(405, 243.74587339875166)"
"(406, 243.83853407013055)"
"(414, 244.60481157957724)"
"(415, 244.70354152604926)"
"(423, 245.5144018806086)"
"(424, 245.61819175467105)"
"(432, 246.46519360223147)"
"(433, 246.572940944764)"
"(439, 247.22660947326244)"
"(440, 247.33660825321954)"
"(447, 248.1129505394848)"
"(448, 248.22456572860585)"
"(453, 248.78419155249264)"
"(454, 248.89630321620552)"
"(461, 249.68061376817036)"
"(457, 249.23268616194446)"
"(456, 249.12056891798454)"
"(456, 249.12056891798454)"
"(455, 249.00843510851394)"
"(452, 248.67211825877894)"
"(451, 248.5601013076457)"
"(444, 247.77903504472317)"
"(443, 247.6680959874601)"
"(441, 247.4468663186259)"
"(440, 247.33660825321954)"
"(432, 246.46519360223147)"
"(431, 246.35782846280438)"
"(426, 245.82724558857433)"
"(425, 245.72247756943193)"
"(423, 245.5144018806086)"
"(422, 245.41112154979328)"
"(424, 245.61819175467105)"
"(425, 245.72247756943193)"
"(426, 245.82724558857433)"
"(427, 245.93248194080388)"
"(432, 246.46519360223147)"
"(433, 246.572940944764)"
"(440, 247.33660825321954)"
"(441, 247.4468663186259)"
"(449, 248.33630748659232)"
"(450, 248.448158504062)"
"(451, 248.5601013076457)"
"(452, 248.67211825877894)"
"(456, 249.12056891798454)"
"(457, 249.23268616194446)"
"(459, 249.45679615919448)"
"(460, 249.56875108006557)"
"(461, 249.68061376817036)"
"(464, 250.01545397223697)"
"(465, 250.126752368334)"
"(467, 250.34875645470424)"
"(468, 250.45942143735726)"
"(469, 250.56983426580825)"
"(474, 251.1173808269291)"
"(475, 251.22583690797433)"
"(476, 251.33389110971268)"
"(477, 251.4415212708592)"
"(478, 251.54870503350685)"
"(482, 251.97252199150637)"
"(483, 252.07713142666967)"
"(493, 253.08707455783554)"
"(494, 253.1839101404754)"
"(500, 253.74598980795975)"
"(501, 253.8362653214814)"
"(506, 254.2714093714111)"
"(507, 254.35499460588153)"
"(508, 254.43736528008765)"
"(509, 254.51849234131066)"
"(510, 254.59834650153016)"
"(515, 254.977482083479)"
"(516, 255.0490704600836)"
"(517, 255.1191742295764)"
"(518, 255.1877621780127)"
"(526, 255.67806873649988)"
"(527, 255.73156864943212)"
"(534, 256.0525788637251)"
"(527, 255.73156864943212)"
"(526, 255.67806873649988)"
"(519, 255.2548028452702)"
"(518, 255.1877621780127)"
"(512, 254.75411778311855)"
"(511, 254.67689823621595)"
"(505, 254.18663839530313)"
"(504, 254.1007102633007)"
"(497, 253.4691658294762)"
"(496, 253.37498198988692)"
"(490, 252.79167915530672)"
"(489, 252.6916693117554)"
"(487, 252.4894830266519)"
"(486, 252.38735599727863)"
"(485, 252.28457230080812)"
"(485, 252.28457230080812)"
"(476, 251.33389110971268)"
"(475, 251.22583690797433)"
"(469, 250.56983426580825)"
"(468, 250.45942143735726)"
"(460, 249.56875108006557)"
"(459, 249.45679615919448)"
"(451, 248.5601013076457)"
"(450, 248.448158504062)"
"(443, 247.6680959874601)"
"(442, 247.55736762847914)"
"(435, 246.7895226945758)"
"(434, 246.6810556404214)"
"(425, 245.72247756943193)"
"(424, 245.61819175467105)"
"(417, 244.90282992209677)"
"(416, 244.80288516552656)"
"(405, 243.74587339875166)"
"(404, 243.6539456199772)"
"(396, 242.94623968524547)"
"(395, 242.86140311939084)"
"(393, 242.69426327242627)"
"(392, 242.61198039190612)"
"(393, 242.69426327242627)"
"(387, 242.21383580737768)"
"(386, 242.13692927605496)"
"(382, 241.83869531491337)"
"(381, 241.7665312963806)"
"(376, 241.4205308620625)"
"(375, 241.35435655150206)"
"(366, 240.80609408908907)"
"(365, 240.75058346228207)"
"(343, 239.82382642001386)"
"(342, 239.79575641492602)"
"(341, 239.7689645719534)"
"(340, 239.7434576378824)"
"(299, 239.88401449169686)"
"(298, 239.91828721966544)"
"(282, 240.68314706202892)"
"(281, 240.74481865773322)"
"(270, 241.5351021023628)"
"(269, 241.61730395087372)"
"(260, 242.43713849368095)"
"(259, 242.5372634700189)"
"(251, 243.40502498733343)"
"(250, 243.52196527760785)"
"(244, 244.2640390953559)"
"(243, 244.39454006832278)"
"(237, 245.2193166406958)"
"(236, 245.36383003032)"
"(231, 246.11720276636603)"
"(230, 246.2741093089264)"
"(224, 247.2600495543337)"
"(223, 247.4318903064568)"
"(218, 248.3239785417372)"
"(217, 248.50905341726093)"
"(212, 249.46836398227634)"
"(211, 249.66709853123513)"
"(207, 250.48536167047817)"
"(206, 250.6958229220408)"
"(201, 251.78416189486643)"
"(200, 252.00913114107743)"
"(196, 252.9338105793127)"
"(195, 253.17125258459066)"
"(191, 254.14654896487076)"
"(190, 254.39683024269877)"
"(189, 254.6497249432602)"
"(188, 254.90524860097668)"
"(186, 255.42424567817196)"
"(185, 255.68775092273103)"
"(182, 256.494487662775)"
"(181, 256.7688617602377)"
"(179, 257.32590311809264)"
"(178, 257.608604400563)"
"(175, 258.47363820433634)"
"(174, 258.767684733416)"
"(172, 259.364437927582)"
"(171, 259.6671809301992)"
"(169, 260.28149186973064)"
"(168, 260.59309717277404)"
"(166, 261.2253021673374)"
"(165, 261.54594027534176)"
"(163, 262.1963850878017)"
"(162, 262.526231280854)"
"(160, 263.19527132308576)"
"(159, 263.5345057547313)"
"(157, 264.2225062834337)"
"(156, 264.57131407858276)"
"(154, 265.2786503910903)"
"(153, 265.63722174392416)"
"(152, 265.999090771632)"
"(151, 266.36427937402004)"
"(149, 267.10470387828576)"
"(148, 267.47998455962625)"
"(147, 267.85867437699005)"
"(146, 268.24079621728606)"
"(144, 269.0154285207526)"
"(143, 269.4079857678094)"
"(142, 269.80406860798837)"
"(141, 270.2037009455191)"
"(139, 271.0137107662147)"
"(138, 271.4241370981252)"
"(137, 271.8382106272963)"
"(136, 272.25595630549634)"
"(134, 273.10256498293484)"
"(133, 273.5314789562143)"
"(132, 273.9641670290224)"
"(131, 274.4006552308841)"
"(130, 274.840969810502)"
