coors
"(326, 155)"
"(325, 156)"
"(325, 159)"
"(324, 160)"
"(324, 161)"
"(323, 162)"
"(323, 165)"
"(322, 166)"
"(322, 168)"
"(321, 169)"
"(321, 172)"
"(320, 173)"
"(320, 176)"
"(319, 177)"
"(319, 179)"
"(318, 180)"
"(318, 182)"
"(317, 183)"
"(317, 185)"
"(316, 186)"
"(316, 188)"
"(315, 189)"
"(315, 192)"
"(314, 193)"
"(314, 195)"
"(313, 196)"
"(313, 198)"
"(312, 199)"
"(312, 201)"
"(311, 202)"
"(311, 204)"
"(310, 205)"
"(310, 206)"
"(309, 207)"
"(309, 209)"
"(308, 210)"
"(308, 211)"
"(307, 212)"
"(307, 214)"
"(306, 215)"
"(306, 216)"
"(305, 217)"
"(305, 219)"
"(304, 220)"
"(304, 221)"
"(303, 222)"
"(303, 223)"
"(302, 224)"
"(302, 226)"
"(301, 227)"
"(301, 228)"
"(300, 229)"
"(300, 230)"
"(299, 231)"
"(299, 232)"
"(298, 233)"
"(298, 234)"
"(297, 235)"
"(297, 236)"
"(296, 237)"
"(296, 238)"
"(295, 239)"
"(295, 240)"
"(294, 241)"
"(294, 242)"
"(293, 243)"
"(293, 244)"
"(292, 245)"
"(292, 246)"
"(291, 247)"
"(291, 248)"
"(289, 250)"
"(289, 251)"
"(287, 253)"
"(287, 254)"
"(286, 255)"
"(286, 256)"
"(284, 258)"
"(284, 259)"
"(282, 261)"
"(282, 262)"
"(279, 265)"
"(279, 266)"
"(276, 269)"
"(276, 270)"
"(274, 272)"
"(274, 273)"
"(269, 278)"
"(269, 279)"
"(265, 283)"
"(265, 284)"
"(260, 289)"
"(260, 290)"
"(249, 301)"
"(248, 301)"
"(242, 307)"
"(241, 307)"
"(237, 311)"
"(236, 311)"
"(233, 314)"
"(232, 314)"
"(229, 317)"
"(228, 317)"
"(225, 320)"
"(224, 320)"
"(222, 322)"
"(221, 322)"
"(218, 325)"
"(217, 325)"
"(217, 327)"
"(216, 328)"
"(215, 328)"
"(214, 329)"
"(212, 329)"
"(211, 328)"
"(209, 328)"
"(208, 329)"
"(207, 328)"
"(206, 328)"
"(207, 328)"
"(209, 330)"
"(207, 332)"
"(206, 332)"
"(204, 334)"
"(203, 334)"
"(202, 335)"
"(201, 335)"
"(200, 336)"
"(199, 336)"
"(198, 337)"
"(197, 337)"
"(196, 338)"
"(195, 338)"
"(194, 339)"
"(193, 339)"
"(192, 340)"
"(191, 340)"
"(190, 341)"
"(189, 341)"
"(188, 342)"
"(187, 342)"
"(186, 343)"
"(185, 343)"
"(184, 344)"
"(183, 344)"
"(182, 345)"
"(181, 345)"
"(180, 346)"
"(178, 346)"
"(177, 347)"
"(176, 347)"
"(175, 348)"
"(174, 348)"
"(173, 349)"
"(171, 349)"
"(170, 350)"
"(169, 350)"
"(168, 351)"
"(166, 351)"
"(165, 352)"
"(164, 352)"
"(163, 353)"
"(161, 353)"
"(160, 354)"
"(158, 354)"
"(157, 355)"
"(156, 355)"
"(155, 356)"
"(154, 356)"
"(153, 357)"
"(151, 357)"
"(150, 358)"
"(148, 358)"
"(147, 359)"
"(145, 359)"
"(144, 360)"
"(143, 360)"
"(142, 361)"
"(139, 361)"
"(138, 362)"
"(137, 362)"
"(136, 363)"
"(133, 363)"
"(132, 364)"
"(130, 364)"
"(129, 365)"
"(127, 365)"
"(126, 366)"
"(124, 366)"
"(123, 367)"
"(122, 367)"
"(122, 369)"
"(121, 370)"
"(120, 370)"
"(123, 370)"
"(124, 369)"
"(126, 369)"
"(127, 368)"
"(129, 368)"
"(130, 367)"
"(132, 367)"
"(133, 366)"
"(135, 366)"
"(136, 365)"
"(139, 365)"
"(140, 364)"
"(141, 364)"
"(142, 363)"
"(144, 363)"
"(145, 362)"
"(147, 362)"
"(148, 361)"
"(150, 361)"
"(151, 360)"
"(153, 360)"
"(154, 359)"
"(156, 359)"
"(157, 358)"
"(158, 358)"
"(159, 357)"
"(161, 357)"
"(162, 356)"
"(163, 356)"
"(164, 355)"
"(166, 355)"
"(167, 354)"
"(169, 354)"
"(170, 353)"
"(171, 353)"
"(172, 352)"
"(173, 352)"
"(174, 351)"
"(176, 351)"
"(177, 350)"
"(178, 350)"
"(179, 349)"
"(180, 349)"
"(181, 348)"
"(183, 348)"
"(184, 347)"
"(185, 347)"
"(186, 346)"
"(187, 346)"
"(188, 345)"
"(189, 345)"
"(190, 344)"
"(191, 344)"
"(192, 343)"
"(193, 343)"
"(194, 342)"
"(195, 342)"
"(196, 341)"
"(197, 341)"
"(198, 340)"
"(199, 340)"
"(200, 339)"
"(201, 339)"
"(202, 338)"
"(203, 338)"
"(205, 336)"
"(206, 336)"
"(207, 335)"
"(208, 335)"
"(209, 334)"
"(210, 334)"
"(212, 332)"
"(213, 332)"
"(214, 331)"
