coors
"(147, 329)"
"(146, 330)"
"(131, 330)"
"(130, 331)"
"(128, 331)"
"(127, 330)"
"(126, 330)"
"(125, 331)"
"(121, 331)"
"(120, 332)"
"(119, 332)"
"(117, 330)"
"(116, 331)"
"(111, 331)"
"(110, 330)"
"(109, 331)"
"(108, 331)"
"(107, 332)"
"(106, 332)"
"(106, 333)"
"(105, 334)"
"(104, 334)"
"(103, 333)"
"(102, 333)"
"(101, 334)"
"(100, 334)"
"(99, 335)"
"(98, 335)"
"(99, 336)"
"(98, 337)"
"(97, 337)"
"(96, 338)"
"(95, 338)"
"(95, 339)"
"(96, 340)"
"(96, 341)"
"(95, 342)"
"(93, 342)"
"(92, 343)"
"(92, 345)"
"(91, 346)"
"(91, 349)"
"(89, 351)"
"(89, 353)"
"(88, 354)"
"(89, 355)"
"(87, 357)"
"(87, 359)"
"(86, 360)"
"(86, 361)"
"(87, 362)"
"(84, 365)"
"(85, 366)"
"(85, 368)"
"(84, 369)"
"(84, 370)"
"(81, 373)"
"(81, 375)"
"(82, 376)"
"(81, 377)"
"(81, 378)"
"(80, 379)"
"(79, 379)"
"(80, 379)"
"(81, 380)"
"(80, 381)"
"(80, 382)"
"(79, 383)"
"(79, 384)"
"(78, 385)"
"(78, 387)"
"(77, 388)"
"(77, 389)"
"(75, 391)"
"(75, 395)"
"(74, 396)"
"(74, 397)"
"(73, 398)"
"(73, 399)"
"(72, 400)"
"(72, 401)"
"(71, 402)"
"(71, 403)"
"(69, 405)"
"(69, 408)"
"(67, 410)"
"(67, 411)"
"(66, 412)"
"(66, 413)"
"(65, 414)"
"(65, 416)"
"(64, 417)"
"(64, 418)"
"(63, 419)"
"(63, 421)"
"(62, 422)"
"(62, 423)"
"(60, 425)"
"(60, 427)"
"(59, 428)"
"(59, 430)"
"(57, 432)"
"(57, 434)"
"(55, 436)"
"(55, 439)"
"(52, 442)"
"(52, 443)"
"(51, 444)"
"(51, 447)"
"(49, 449)"
"(49, 451)"
"(47, 453)"
"(47, 454)"
"(46, 455)"
"(46, 456)"
"(45, 457)"
"(45, 458)"
"(44, 459)"
"(44, 460)"
"(42, 462)"
"(42, 464)"
"(41, 465)"
"(41, 467)"
"(40, 468)"
"(39, 468)"
"(39, 469)"
"(38, 470)"
"(38, 473)"
"(36, 475)"
"(36, 476)"
"(34, 478)"
"(34, 479)"
"(35, 479)"
"(38, 476)"
"(38, 473)"
"(39, 472)"
"(41, 472)"
"(41, 469)"
"(43, 467)"
"(42, 466)"
"(43, 465)"
"(44, 465)"
"(45, 464)"
"(45, 463)"
"(47, 461)"
"(47, 460)"
"(48, 459)"
"(50, 461)"
"(51, 461)"
"(51, 460)"
"(49, 460)"
"(48, 459)"
"(48, 458)"
"(51, 455)"
"(53, 455)"
"(52, 454)"
"(53, 453)"
"(53, 451)"
"(55, 449)"
"(56, 449)"
"(55, 448)"
"(56, 447)"
"(57, 447)"
"(58, 446)"
"(59, 446)"
"(58, 445)"
"(58, 444)"
"(57, 443)"
"(57, 442)"
"(58, 441)"
"(60, 441)"
"(61, 442)"
"(62, 442)"
"(59, 439)"
"(60, 438)"
"(60, 437)"
"(61, 436)"
"(62, 437)"
"(63, 436)"
"(62, 436)"
"(61, 435)"
"(64, 432)"
"(65, 433)"
"(64, 432)"
"(65, 431)"
"(65, 429)"
"(66, 428)"
"(66, 427)"
"(67, 426)"
"(69, 428)"
"(68, 429)"
"(68, 430)"
"(70, 430)"
"(71, 429)"
"(74, 429)"
"(73, 429)"
"(72, 428)"
"(72, 426)"
"(74, 424)"
"(74, 423)"
"(73, 423)"
"(72, 422)"
"(73, 421)"
"(74, 421)"
"(75, 420)"
"(76, 420)"
"(77, 421)"
"(78, 421)"
"(78, 420)"
"(77, 420)"
"(76, 419)"
"(76, 418)"
"(77, 417)"
"(78, 417)"
"(77, 416)"
"(79, 414)"
"(79, 412)"
"(78, 411)"
"(79, 410)"
"(82, 410)"
"(82, 409)"
"(83, 408)"
"(83, 407)"
"(82, 407)"
"(81, 406)"
"(83, 404)"
"(84, 404)"
"(85, 405)"
"(85, 406)"
"(86, 406)"
"(86, 404)"
"(84, 404)"
"(83, 403)"
"(83, 402)"
"(84, 401)"
"(85, 401)"
"(86, 400)"
"(87, 401)"
"(88, 400)"
"(89, 400)"
"(88, 399)"
"(88, 398)"
"(89, 397)"
"(87, 397)"
"(86, 396)"
"(88, 394)"
"(88, 393)"
"(89, 392)"
"(91, 392)"
"(92, 393)"
"(93, 393)"
"(94, 394)"
"(93, 395)"
"(91, 395)"
"(91, 396)"
"(93, 396)"
"(93, 395)"
"(94, 394)"
"(93, 393)"
"(93, 391)"
"(94, 390)"
"(96, 390)"
"(97, 391)"
"(97, 392)"
"(96, 393)"
"(101, 393)"
"(103, 395)"
"(102, 396)"
"(100, 396)"
"(99, 397)"
"(98, 396)"
"(97, 396)"
"(96, 397)"
"(99, 397)"
"(100, 398)"
"(100, 399)"
"(99, 400)"
"(99, 401)"
"(101, 401)"
"(102, 400)"
"(102, 397)"
"(103, 396)"
"(105, 396)"
"(104, 395)"
"(103, 395)"
"(102, 394)"
"(103, 393)"
"(104, 393)"
"(105, 392)"
"(106, 392)"
"(106, 389)"
"(107, 388)"
"(107, 387)"
"(108, 386)"
"(109, 386)"
"(110, 387)"
"(110, 388)"
"(110, 387)"
"(111, 386)"
"(115, 386)"
"(111, 386)"
"(110, 385)"
"(114, 381)"
"(115, 382)"
"(114, 381)"
"(114, 380)"
"(113, 379)"
"(113, 378)"
"(114, 377)"
"(114, 376)"
"(115, 375)"
"(117, 377)"
"(117, 378)"
"(119, 378)"
"(119, 377)"
"(118, 376)"
"(120, 374)"
"(121, 374)"
"(122, 375)"
"(122, 376)"
"(123, 376)"
"(124, 377)"
"(124, 376)"
"(123, 375)"
"(124, 374)"
"(125, 374)"
"(125, 373)"
"(124, 372)"
"(124, 369)"
"(123, 369)"
"(122, 370)"
"(121, 369)"
"(121, 368)"
"(122, 367)"
"(121, 366)"
"(121, 365)"
"(122, 364)"
"(124, 364)"
"(125, 365)"
"(125, 366)"
"(126, 365)"
"(127, 365)"
"(128, 366)"
"(129, 366)"
"(130, 367)"
"(130, 369)"
"(136, 369)"
"(136, 368)"
"(137, 367)"
"(137, 365)"
"(138, 364)"
"(137, 363)"
"(137, 362)"
"(136, 361)"
"(136, 360)"
"(137, 359)"
"(139, 359)"
"(140, 360)"
"(140, 361)"
"(141, 362)"
"(143, 362)"
"(144, 361)"
"(144, 359)"
"(145, 358)"
"(145, 357)"
"(147, 355)"
"(149, 355)"
"(149, 353)"
"(148, 353)"
"(147, 354)"
"(140, 354)"
"(139, 355)"
"(138, 354)"
"(137, 354)"
"(135, 352)"
"(136, 351)"
"(142, 351)"
"(141, 350)"
"(142, 349)"
"(143, 349)"
"(143, 346)"
"(141, 346)"
"(140, 345)"
"(142, 343)"
"(145, 343)"
"(146, 342)"
"(147, 342)"
"(145, 342)"
"(144, 341)"
"(145, 340)"
"(148, 340)"
"(149, 339)"
"(155, 339)"
"(155, 338)"
"(156, 337)"
"(156, 335)"
"(157, 334)"
"(158, 335)"
"(161, 335)"
"(163, 333)"
"(164, 333)"
"(166, 331)"
"(167, 331)"
"(168, 332)"
"(169, 332)"
"(171, 330)"
"(183, 330)"
"(184, 329)"
"(200, 329)"
"(163, 329)"
"(162, 330)"
"(148, 330)"
"(79, 262)"
"(80, 263)"
"(80, 265)"
"(79, 266)"
"(78, 266)"
"(78, 267)"
"(79, 268)"
"(79, 269)"
"(80, 270)"
"(78, 272)"
"(77, 272)"
"(76, 271)"
"(74, 271)"
"(74, 274)"
"(75, 275)"
"(75, 276)"
"(76, 277)"
"(76, 279)"
"(75, 280)"
"(75, 281)"
"(74, 282)"
"(74, 284)"
"(73, 285)"
"(71, 285)"
"(75, 285)"
"(76, 284)"
"(77, 284)"
