times
1.0080232
1.0177138
1.0260111
1.0340611
1.0416995
1.0492977
1.0570663
1.0644328
1.0720025
1.0796907
1.0868426
1.0949869
1.1021528
1.1097178
1.1169271
1.1242206
1.1312503
1.1382741
1.1455037
