image,coordinates,camera
0,"(639, 479)",cam1
3,"(105, 363)",cam1
4,"(108, 329)",cam1
5,"(168, 458)",cam1
6,"(192, 470)",cam1
7,"(156.0, 364.0)",cam1
8,"(120, 370)",cam1
9,"(212, 438)",cam1
10,"(201, 454)",cam1
11,"(397.0, 464.0)",cam1
12,"(437.5, 375.0)",cam1
13,"(396.5, 431.0)",cam1
14,"(156.0, 297.0)",cam1
15,"(364.5, 296.0)",cam1
16,"(347, 267)",cam1
17,"(263, 242)",cam1
18,"(292, 421)",cam1
