image,coordinates,camera
0,"(639, 479)",cam2
4,"(46.0, 30.0)",cam2
5,"(74.0, 108.0)",cam2
6,"(66.0, 132.0)",cam2
7,"(59, 40)",cam2
8,"(38.0, 49.0)",cam2
9,"(26.0, 148.0)",cam2
10,"(44.0, 138.0)",cam2
11,"(48.5, 322.5)",cam2
12,"(9.0, 366.5)",cam2
13,"(21.0, 322.0)",cam2
14,"(34, 479)",cam2
15,"(34.0, 478.5)",cam2
16,"(34.0, 478.5)",cam2
17,"(34.0, 478.5)",cam2
18,"(34.0, 478.5)",cam2
