times
1.029904
1.0316067
1.0343227
1.0371393
1.1799293
1.2098677
1.2409649
1.2663698
1.2919705
1.3182746
1.3443759
1.3707733
1.3963446
1.4216875
1.4504373
1.4753892
1.5002484
1.5293591
1.5547893
