times
0.9805694
0.9816067
0.9842909
0.9866965
1.11902
1.146174
1.1725594
1.1973097
1.2232036
1.2489925
1.2745918
1.3010314
1.3270264
1.3527151
1.3819179
1.4072605
1.4328485
1.4622219
1.4876391
