image,coordinates,camera
0,"(68, 34)",cam2
1,"(64, 133)",cam2
3,"(58, 23)",cam2
4,"(44, 24)",cam2
5,"(73, 103)",cam2
6,"(63, 126)",cam2
7,"(56, 34)",cam2
8,"(35, 43)",cam2
9,"(23, 143)",cam2
10,"(41, 133)",cam2
11,"(39, 327)",cam2
12,"(8.0, 363.5)",cam2
13,"(12, 328)",cam2
14,"(6, 69)",cam2
15,"(68, 303)",cam2
